question_id,question,reference,context,our_answer_wo_context,our_answer_w_context
fe092eee0bdd11eba7f7acde48001122,"Where did Simon Fraser, 14Th Lord Lovat's father die?",Scottish,"Brigadier Simon Joseph Fraser, 14th Lord Lovat and 3rd Baron Lovat, (25 November 1871 – 18 February 1933), was a leading Roman Catholic aristocrat, landowner, forester, soldier, politician and the 23rd Chief of Clan Fraser. He was the son of Simon Fraser, 13th Lord Lovat, and Alice Mary Weld-Blundell. While legally the 14th Lord Lovat (and 3rd Baron Lovat), he was referred to as the 16th Lord.
Simon Fraser, 13th Lord Lovat and 2nd Baron Lovat (21 December 1828 – 6 September 1887), was a Scottish peer. While legally the 13th Lord, he was referred to as the 15th Lord Lovat. Lovat was the son of Thomas Alexander Fraser, 12th Lord Lovat, and Charlotte Georgina Stafford-Jerningham. He succeeded his father in 1875. Lord Lovat resided at Beaufort Castle, and was the 22nd Chief of the Clan Fraser, or ""MacShimidh"". He also served as Lord Lieutenant of Inverness between 1873 and 1887. Lord Lovat married Alice Mary Weld-Blundell, daughter of Thomas Weld-Blundell, in 1866. He died in September 1887, aged 58, and was succeeded by his son Simon. Lady Blundell survived her husband by over fifty years and died in 1938, aged 92. They had nine children.","I do not have information on Simon Fraser, 14th Lord Lov",In September 1887.
c46f575c0bd911eba7f7acde48001122,Where was the place of death of Edsel Ford's father?,Dearborn,"Henry Ford (July 30, 1863 – April 7, 1947) was an American industrialist and a business magnate, the founder of the Ford Motor Company, and the sponsor of the development of the assembly line technique of mass production. Although Ford did not invent the automobile or the assembly line, he developed and manufactured the first automobile that many middle-class Americans could afford. In doing so, Ford converted the automobile from an expensive curiosity into a practical conveyance that would profoundly impact the landscape of the 20th century. His introduction of the Model T automobile revolutionized transportation and American industry. As the owner of the Ford Motor Company, he became one of the richest and best-known people in the world. He is credited with ""Fordism"": mass production of inexpensive goods coupled with high wages for workers. Ford had a global vision, with consumerism as the key to peace. His intense commitment to systematically lowering costs resulted in many technical and business innovations, including a franchise system that put dealerships throughout most of North America and in major cities on six continents. Ford left most of his vast wealth to the Ford Foundation and arranged for his family to control the company permanently.
Ford was also widely known for his pacifism during the first years of World War I, and for promoting antisemitic content, including ""The Protocols of the Elders of Zion"", through his newspaper ""The Dearborn Independent"" and the book ""The International Jew"", having an alleged influence on the development of Nazism and Adolf Hitler.
Edsel Bryant Ford (November 6, 1893 – May 26, 1943) was the son of Clara Jane Bryant Ford and the only child of Henry Ford. He was the president of Ford Motor Company from 1919 until his death in 1943. His eldest son was Henry Ford II. He worked closely with his father, as sole heir to the business, but was keen to develop cars more exciting than the Model T (""Tin Lizzie""), in line with his personal tastes. Even as president, he had trouble persuading his father to allow any departure from this formula. Only a change in market conditions enabled him to develop the more fashionable Model A in 1927. Edsel also founded the Mercury division and was responsible for the Lincoln Zephyr and Lincoln Continental. He introduced important features, such as hydraulic brakes, and greatly strengthened the company's overseas production. Ford was a major art benefactor in Detroit and also financed Admiral Richard Byrd's polar explorations. He died of stomach cancer aged 49, with his father resuming the presidency of the company, before handing it over to Henry Ford II.","Detroit, Michigan","April 7, 1947."
befbd60c0bdd11eba7f7acde48001122,Where did William S. Burroughs Jr.'s father study?,Harvard,"William Seward Burroughs III (July 21, 1947 – March 3, 1981) was an American novelist, also known as William S. Burroughs Jr. and Billy Burroughs. He bears the name of both his father and his great grandfather, William Seward Burroughs I, the original inventor of the Burroughs adding machine. He wrote three novels, two of which were published as ""Speed"" (1970) and ""Kentucky Ham"" (1973). His third novel, ""Prakriti Junction,"" begun in 1977, was never completed, although extracts from it were included in his third and final published work ""Cursed From Birth"". Burroughs Jr. underwent a liver transplant in 1976 after developing cirrhosis. He died in 1981, at the age of 33, from alcoholism and liver failure. Burroughs Jr. appears briefly in the 1983 documentary , about his father, in which he discusses his childhood, his liver problems, and his relationship with his family. In the documentary, John Giorno calls him ""the last beatnik.""
William Seward Burroughs II (February 5, 1914 – August 2, 1997) was an American writer and visual artist. Burroughs was a primary figure of the Beat Generation and a major postmodernist author whose influence is considered to have affected a range of popular culture as well as literature. Burroughs wrote eighteen novels and novellas, six collections of short stories and four collections of essays. Five books have been published of his interviews and correspondences. He also collaborated on projects and recordings with numerous performers and musicians and made many appearances in films. He was also briefly known by the pen name William Lee. Burroughs created and exhibited thousands of paintings and other visual artworks, including his celebrated 'Gunshot Paintings'. He was born into a wealthy family in St. Louis, Missouri, grandson of the inventor and founder of the Burroughs Corporation, William Seward Burroughs I, and nephew of public relations manager Ivy Lee. Burroughs began writing essays and journals in early adolescence but did not begin publicizing his writing until his thirties. He left home in 1932 to attend Harvard University, studied English, and anthropology as a postgraduate, and later attended medical school in Vienna. In 1942 Burroughs enlisted in the U.S. Army to serve during World War II, but was turned down by the Office of Strategic Services and Navy, after which he picked up the drug addiction that affected him for the rest of his life, while working a variety of jobs. In 1943, while living in New York City, he befriended Allen Ginsberg and Jack Kerouac, and out of their mutual influence grew the foundation of the Beat Generation, which was later a defining influence on the 1960s counterculture. Much of Burroughs' work is semiautobiographical, primarily drawn from his experiences as a heroin addict, as he lived throughout Mexico City, London, Paris and the Tangier International Zone near Morocco, as well as from his travels in the South American Amazon. His work also features frequent mystical, occult or otherwise magical themes – a constant preoccupation for Burroughs, both in fiction and in real life. Burroughs killed his second wife, Joan Vollmer, in 1951 in Mexico City. Burroughs initially claimed that he shot Vollmer while drunkenly attempting a ""William Tell"" stunt. He later told investigators a different story: that he had been showing his pistol to friends, when it fell and hit the table, firing the bullet that killed Vollmer. After Burroughs returned to the United States, he was convicted of manslaughter ""in absentia"", and received a two-year suspended sentence. Burroughs found success with his confessional first novel, ""Junkie"" (1953), but he is perhaps best known for his third novel ""Naked Lunch"" (1959), a highly controversial work that was the subject of a court case after it was challenged as being in violation of the U.S. sodomy laws. With Brion Gysin, he also popularized the literary cut-up technique in works such as The Nova Trilogy (1961–1964). In 1983, Burroughs was elected to the American Academy and Institute of Arts and Letters, and in 1984 he was awarded the Ordre des Arts et des Lettres by France. Jack Kerouac called Burroughs the ""greatest satirical writer since Jonathan Swift"", a reputation he owes to his ""lifelong subversion"" of the moral, political, and economic systems of modern American society, articulated in often darkly humorous sardonicism. J. G. Ballard considered Burroughs to be ""the most important writer to emerge since the Second World War"", while Norman Mailer declared him ""the only American writer who may be conceivably possessed by genius"". Burroughs created visual art throughout his lifetime, but never exhibited it until 1987, after the death of his friend and collaborator Brion Gysin. For the next and last 10 years of his life, he presented his paintings and drawings at museums and galleries worldwide. Burroughs had one child, William S. Burroughs Jr. (1947–1981), with his second wife Joan Vollmer. William Burroughs died at his home in Lawrence, Kansas, after suffering a heart attack in 1997.",I couldn't find any information on William S. Burroughs Jr,He studied English and anthropology at Harvard University.
28669c5a0bdc11eba7f7acde48001122,Who is the father of the performer of song One Love (Carlene Carter Song)?,Carl Smith,"Carlene Carter (born Rebecca Carlene Smith; September 26, 1955) is an American country singer and songwriter. She is the daughter of June Carter and her first husband, Carl Smith. Between 1978 and the present, Carter has recorded twelve albums, primarily on major labels. In the same timespan, she has released more than twenty singles, including three No. 3-peaking hits on the ""Billboard"" Hot Country Songs charts.
""One Love"" is a song co-written and recorded by American country music artist Carlene Carter. It was released in August 1991 as the fourth single from the album ""I Fell in Love"". The song reached number 33 on the ""Billboard"" Hot Country Singles & Tracks chart. It was written by Carter, Howie Epstein and Perry Lamek.",Carlene Carter's father is Johnny Cash.,Carl Smith.
0e6eb2d20bb011ebab90acde48001122,"Who is Otto I, Prince Of Anhalt-Aschersleben's paternal grandfather?","Henry I, Count of Anhalt","Otto I, Prince of Anhalt-Aschersleben (died 25 June 1304) was a German prince of the House of Ascania and ruler of the principality of Anhalt-Aschersleben. He was the eldest son of Henry II, Prince of Anhalt-Aschersleben, by his wife Matilda, daughter of Otto the Child, Duke of Brunswick-Lüneburg. Otto was named after his maternal grandfather.
Henry II, Prince of Anhalt-Aschersleben (1215 – 12 June 1266) was a German prince of the House of Ascania and ruler of the principality of Anhalt-Aschersleben. He was the eldest son of Henry I, Count of Anhalt (who was raised to the rank of prince in 1218), by his wife Irmgard, daughter of Hermann I, Landgrave of Thuringia.","I am unable to verify who Otto I, Prince Of Anhalt-","Henry I, Count of Anhalt"
647e184a0bdb11eba7f7acde48001122,Who is the child of the director of film Land Of My Fathers (Film)?,Claude Rains,"Land of My Fathers is a 1921 British silent drama film directed by Fred Rains and starring John Stuart, Edith Pearson and Yvonne Thomas.
Frederick William Rains (c. 1860 – 3 December 1945) was a British actor and film director. He is the father of the actor Claude Rains.","I couldn't find any information about a film called ""Land Of My",Claude Rains.
812dccf40bb011ebab90acde48001122,"Who is the paternal grandfather of Sigismund I, Prince Of Anhalt-Dessau?","Albert II, Prince of Anhalt-Zerbst","John II, Prince of Anhalt-Zerbst (died 11 April 1382) was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the youngest son of Albert II, Prince of Anhalt-Zerbst, by his second wife Beatrix, daughter of Rudolf I, Elector of Saxony and Duke of Saxe-Wittemberg.
Sigismund I, Prince of Anhalt-Dessau (died Coswig, 19 January 1405), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst until 1396, when he became the first ruler of the principality of Anhalt-Dessau. He was the eldest son of John II, Prince of Anhalt-Zerbst, by his wife Elisabeth, daughter of John I, Count of Henneberg-Schleusingen.",I am unable to verify who the paternal grandfather of Sigismund I,Rudolf I
41b295500bb011ebab90acde48001122,"Who is Henry Ii, Duke Of Münsterberg's paternal grandfather?",Nicholas the Small,"Henry II of Münsterberg (– 11 March 1420) was Duke of Münsterberg (Ziębice) since 1410 until his death (as co-ruler of his brother John I). He was the third son of Duke Bolko III of Münsterberg by his wife Euphemia, daughter of Duke Bolesław of Bytom.
Bolko III of Münsterberg (– 13 June 1410) was a Duke of Münsterberg (Ziębice) from 1358 until his death, and ruler over Gleiwitz (Gliwice) during 1369–1373. He was the eldest son of Nicholas the Small, Duke of Münsterberg, by his wife Agnes, daughter of Herman Krušina of Lichtenberg.","I am unable to verify who Henry I, Duke of Münster",Nicholas the Small
2357718a088f11ebbd72ac1f6bf848b6,"Which film has the director who died earlier, Father Makes Good or The Power Of A Lie?",The Power Of A Lie,"The Power of a Lie is a 1922 American drama film directed by George Archainbaud and written by Charles Kenyon. It is based on the 1908 novel"" The Power of a Lie"" by Johan Bojer. The film stars Mabel Julienne Scott, David Torrence, Maude George, Ruby Lafayette, Earl Metcalfe, and June Elvidge. The film was released on January 7, 1923, by Universal Pictures.
George Archainbaud( May 7, 1890 – February 20, 1959) was a French- born American film and television director.
Jean Yarbrough (August 22, 1901 – August 2, 1975) was an American film director.
Father Makes Good is a 1950 American comedy film directed by Jean Yarbrough and written by D.D. Beauchamp. The film stars Raymond Walburn, Walter Catlett, Gary Gray, Mary Stuart, Barbara Brown and Olin Howland. The film was released on May 7, 1950, by Monogram Pictures.","I couldn't find any information on the films ""Father Makes Good""",Father Makes Good.
e63572a20bdb11eba7f7acde48001122,Who is the spouse of the director of film Dhaya (Film)?,Sreeja Chandran,"Senthil Kumar (born 18 October 1978), popularly known as Mirchi Senthil is an Indian film and television actor, television presenter, radio jockey and voice actor. He began his career as a radio jockey with the radio station ""Radio Mirchi"". He performed in the lead character Saravanan in STAR Vijay's sensational serial Saravannan Meenatchi. Senthil and his co-star Sreeja Chandran had married on 2 July 2014 in a private function in Tirupathi. He made his debut as a film actor in Thavamai Thavamirundhu and has continued acting in lead roles in ""Sengathu BhoomiyilaeKan Pesum VaarthaigalVennila Veedu"" and more.
Dhaya (lit. Mercy) is a 2002 Indian Tamil action drama film directed by Senthil Kumar and produced by Prakash Raj. It stars Prakash Raj, Meena, Lakshmi and Raghuvaran. The National Film Award—Special Jury Award for Best Actor was awarded for Raj for this movie. The film received positive reviews from critics and audience.","I couldn't find any information about a film called ""Dhaya",Prakash Raj.
c04557e00bdd11eba7f7acde48001122,What nationality is Rajaraja Ii's father?,Chola dynasty,"Rajaraja Chola II (Tamil:இரண்டாம் ராஜராஜ சோழன்) succeeded his father Kulothunga Chola II to the Chola throne in 1150. He was made his heir apparent and coregent in 1146 and so the inscriptions of Rajaraja II count his reign from 1146. Rajaraja's reign began to show signs of the coming end of the dynasty.
Kulothunga Chola II was a 12th-century king of the Chola Dynasty of the Tamil people of South India. He succeeded his father Vikrama Chola to the throne in 1135 CE. Vikrama Chola made Kulothunga his heir apparent and coregent in 1133 CE, so the inscriptions of Kulothunga II count his reign from 1133 CE. Kulothunga II's reign was a period of general peace and good governance.",I don't have information on Rajaraja II's father.,Tamil people.
