Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,13_token,14_token,15_token,16_token,17_token,18_token,19_token,20_token,21_token,22_token,23_token,24_token,25_token,26_token,27_token,28_token,29_token,30_token,31_token,32_token,33_token,34_token,35_token,36_token,37_token,38_token
Layer_13,6.246028691624881e-06,2.1109260962060572e-05,0.00030444553969848905,6.297034741551094e-05,5.266491097325835e-05,4.484685225873325e-05,0.00011615701435054859,0.0009024774402317033,0.00010665342758089637,8.730539001867833e-05,0.0007305356553453229,3.484444584783529e-05,0.00021958662039472102,0.00012491494435892898,8.618364669535265e-05,0.00014518106754078121,7.991654382237812e-05,4.54873271411753e-05,6.63616010982082e-05,2.1298769361521863e-05,0.00010435303363465209,3.331856010409714e-05,2.2722479911863047e-05,4.7598475964605315e-05,0.00032755739297272155,4.031933765560325e-05,4.321291371525149e-05,1.5664661702885496e-05,7.02416105013981e-06,1.8853261281037703e-06,1.928430151565408e-05,2.1428507655703772e-05,2.0862502954817805e-06,5.7103832659777254e-05,2.3717477233731188e-05,4.486269062908832e-06,5.1100458222208545e-05,5.803993644803995e-06
Layer_14,6.344838435106941e-06,4.744902424903149e-05,0.00015837266090843146,0.00010629441933807422,5.6434288822515555e-05,8.323067162156648e-05,0.00017770146813376187,0.004670958756422452,0.0002517253194456417,9.673785402557971e-05,0.0009472363213067833,0.00010107705925706382,0.0001658139497859531,0.00020799964637079272,0.0002355020574508013,0.00025679002286601053,0.00010040310998533641,0.00048256246639784175,3.963010972256598e-05,5.4810519152681536e-05,7.714197665466469e-05,3.977326703719086e-05,2.4980585408229672e-05,0.0002596665489818406,0.0009472700847197757,5.8364887972572885e-05,7.800617972861801e-05,4.838413478864822e-05,1.5954445927945926e-05,1.3594856265323566e-05,0.00011201818017525511,9.402660695438196e-05,3.6365168701498383e-06,3.104524512309581e-05,0.00028053027926944196,1.4909525816619862e-05,2.7719534045900218e-05,1.9517021428328007e-05
Layer_15,1.3387160286981725e-05,0.00035686366168152935,0.00028362759620440496,0.0001250241850308547,0.00016173660248600634,6.31921935445373e-05,0.0006376987143292823,0.002598489065028452,0.00016121292482138314,0.00017951308579869065,0.0009031399280153048,0.0003241592318590158,0.0002232304227842371,0.0002987865981774524,0.00041781032249563676,0.0003062415995575817,0.00024324590457922569,0.0010245752041555534,8.686324470090767e-05,0.00015455908921779837,0.00031815719741449096,7.245138820148138e-06,2.9093558017242078e-05,0.00014465907208887073,0.0011720016799699807,3.0128027282216864e-05,0.00022192192682268796,8.582882455812068e-05,1.3684550069115176e-05,4.38589182749638e-06,0.0002529697103454964,0.0001265203488098147,3.695920933447875e-06,7.517362246289849e-05,0.0007114948821254075,4.1198651160812005e-05,7.158483640523627e-06,1.9454133507679217e-05
Layer_16,9.105088115578686e-05,0.0011031248606613259,0.0055751611583343755,0.0007359913788133911,0.0012071693853407076,0.00047150621802169245,0.0041701481145402395,0.006733825535851186,0.0018809937286871697,0.0010700564916482512,0.028518673741291422,0.004539628814041642,0.0027470266242579037,0.0015867029542312484,0.002364526270216159,0.0028587306043361778,0.0020124772630197183,0.001138466482748649,0.0002541930176562346,0.00019822490651222324,0.0005623740825098723,2.8469100584516127e-05,2.3062766956627456e-05,0.00023066336721058178,0.0022970398283177927,0.0021312153465864016,0.0023803815893188585,0.0012820114141504745,1.996337209675403e-05,1.30882829504723e-05,0.0005128011036958924,0.0003745689233862019,1.865845676244741e-05,2.978209340653848e-05,0.033802226185798645,0.0003989747492596507,0.00024292097077704966,9.855552343651652e-05
Layer_17,0.0002463259142902303,0.004094454251924651,0.009517376374148607,0.004216370944857317,0.0032374385073378814,0.0014410172595500804,0.01574864452835243,0.03321443153900974,0.003946996294195692,0.008414344398087477,0.04370534727874786,0.010143243405020092,0.004430427487518914,0.012220455503431753,0.021739990325558806,0.011973535277795,0.014390788120181242,0.0074609722110975645,0.001520555024967507,0.0002557954680924013,0.0013931261730912223,0.0001319783345555455,6.955815797482501e-05,0.0007513479773479048,0.021568695463065522,0.00622905166439125,0.0024738348765822593,0.0005081698600406526,0.0008562975156110042,4.7191435745238174e-05,0.001969346985182104,0.00018180300564078303,0.000308174971905828,4.4053569581592456e-05,0.05210753530263901,0.004703066777437925,0.002246161224320531,0.00011715426808223128
Layer_18,0.0001935591850315735,0.013510302542202018,0.011139953774362455,0.011442967434728807,0.012431097485771429,0.007104909776400036,0.037937283345553394,0.052096241578535936,0.016147498844399404,0.024548992196874526,0.07763510382860009,0.030733528580626487,0.03631673513504983,0.035906384036176554,0.061172520313667864,0.028959856808994475,0.06426559454666858,0.008670994591039535,0.0021921388436567215,0.0007941662242956227,0.000953485853399018,0.00043680853389105323,0.0010843970312635065,0.003608900838298723,0.014928898924335954,0.013620932193073542,0.0039019586038193665,0.0020327491696662038,0.0012127103418606566,9.936468230383373e-05,0.007931628555525094,0.0003099346931776381,0.0010367578797740862,0.00010830313840415329,0.17033478617668152,0.00823773443698883,0.002885613590478897,0.0002010589960264042
Layer_19,0.00035056688260688636,0.020834156390689314,0.035614586872715424,0.027766230925152513,0.0333958893969229,0.011240199043097563,0.06028533971776255,0.09812973567305663,0.04322763459473814,0.056147752501210055,0.10169626917999526,0.049002298334044375,0.03382243672631651,0.06582692726588545,0.07519077216445645,0.039852256443025355,0.09133010131540686,0.02704843075333394,0.0031092192159690056,0.003359635870197053,0.0010057609665149617,0.0009380791696761056,0.0014140216834069481,0.0028838957965490407,0.14489398753794375,0.020211333558332,0.004854640517442022,0.0016711791657144203,0.0015615569482179126,0.00041100070757238427,0.018300667511842523,0.017090306023722707,0.0012565570420216925,0.0006340796244330704,0.3338165283203125,0.03176315873861313,0.002082936465740204,0.00023470845189876854
Layer_20,0.0011074665190162363,0.034850442240504036,0.10596001950883166,0.41784085575517177,0.12188622181642367,0.04078056898310379,0.14009462908529713,0.18807621955436893,0.1613028155627237,0.1697532974696085,0.20854274439652076,0.1275034209733845,0.16847875725216,0.1494728644891466,0.1033584807772623,0.09553084225183778,0.10425646232306462,0.1077934509028707,0.0037155940732191083,0.01690906050509966,0.0019990355274980436,0.0040441977134833,0.014999906226876192,0.03080728198692668,0.32006892199860887,0.0649256790473487,0.09846226674999344,0.007890962225610565,0.0006792619265070243,0.013627190174550682,0.05007984178761641,0.06504444851892306,0.0026542023770161904,0.00040192558662965894,0.6133986711502075,0.18918223679065704,0.028749456629157066,0.0001330324448645115
Layer_21,0.0029044972549116797,0.04430564219354179,0.3262707743617998,0.49460689846852446,0.15391628837985788,0.1540934985945258,0.23647090188003403,0.22987084113732534,0.2447068669072097,0.22426322637157783,0.2712884731667665,0.21752411583290757,0.22921144903904694,0.24249884972273045,0.24713721148627255,0.19095843798844153,0.16065742332455102,0.14673976770663663,0.005280810933572866,0.059676885313990624,0.16979994323004835,0.00749110963079147,0.01455021232565438,0.041073662624694404,0.2594427341944538,0.11303365209223556,0.1460991572472267,0.005607608035450085,0.0016532972276763758,0.054667251073927524,0.02490183765379091,0.03575207524977486,0.00820105228679798,0.004814308136701584,0.39606162905693054,0.6530426144599915,0.06648822128772736,0.0005717586609534919
Layer_22,0.007097868685156856,0.06115762426162772,0.6830936259215646,0.6874052586761666,0.20392812471601685,0.27110732743161997,0.27791595270768993,0.3101510538677101,0.34805895043105767,0.39837013838449464,0.3450233450470631,0.3469544196258071,0.32629267529018485,0.2981626927550513,0.29892789023700533,0.34540986522928085,0.2717510335468397,0.15585605889674087,0.03545566198918095,0.12919769572380346,0.18227727147573855,0.007662015302988341,0.01658463075000327,0.06864762236364186,0.38639966449700297,0.22748242898744592,0.27508854046463965,0.010310319561047976,0.0005429234015892348,0.18047155130655787,0.08914991312970717,0.053024582921049536,0.04287871758666976,0.002809033263474703,0.9294868111610413,0.9293873906135559,0.976963460445404,8.321114728460088e-05
Layer_23,0.01663518859656199,0.10941056937125307,0.602220770544017,0.7214067282783617,0.37924325975983364,0.466552094486826,0.406400769319589,0.3928968088045824,0.4688704213546468,0.47048589992179285,0.42739660069916163,0.4533189596438729,0.5412066329949029,0.38059508354646104,0.3605368210000765,0.40500275774052563,0.31568237841603947,0.15509788580052722,0.054169213506247614,0.19312076479855023,0.21510031988145784,0.04743073177814949,0.0523100895176564,0.16137135535827837,0.4254908194765449,0.2406390542804729,0.28951151221990584,0.03713560053950005,0.010589372030494815,0.3334496911581179,0.048319962341338396,0.0865319811499224,0.31187829955403384,0.00045852383482269943,0.9936607480049133,0.9759399890899658,0.9854433536529541,0.0005204782937653363
Layer_24,0.01935378952952025,0.6621426023382717,0.8046998878419024,0.6140913781067087,0.4152503981671611,0.5580353825267904,0.40825110118967134,0.3926400173638045,0.5247882552741632,0.5044944607978626,0.48074014515955243,0.455796444791221,0.6092685578988135,0.43860770556476025,0.3780596116998979,0.41617150382950535,0.3114947198771006,0.1608664512840243,0.151848858629819,0.240111451280427,0.2615170379452008,0.1956564791422958,0.10430193582821327,0.20466930544935166,0.4154894154518843,0.327207198087126,0.35960497707128525,0.11145752893344252,0.07741860648275178,0.3412954444841792,0.06588760825494926,0.1624263398413556,0.30181694600226666,0.2578810155391693,0.9984138011932373,0.9739951491355896,0.9870452284812927,0.0016109604621306062
Layer_25,0.02081919919387543,0.6577584314159863,0.8306076380677346,0.7108892766837795,0.5223861377298817,0.5849577484584254,0.5273077291923982,0.43222954885711967,0.6018647227643265,0.5479622516545027,0.5543188381413529,0.5608928492786645,0.6664098327217455,0.48500208111275267,0.4363588835381208,0.4434078710315668,0.3835374352191138,0.24975388776510954,0.23169153796043246,0.2697097121376828,0.47365444923551486,0.20927744288928807,0.25253373744393076,0.41744591370224954,0.7151358634233475,0.4152657687664032,0.5595665827393532,0.2356377512196559,0.1239826911066011,0.35414780986805755,0.0839987974613905,0.21676701251029348,0.2515373920590112,0.7079201936721802,0.9993078708648682,0.9913893342018127,0.9912886619567871,0.037488292902708054
Layer_26,0.044840195829267224,0.7379344255527389,0.9094814184128038,0.8736134424755749,0.6015219451036062,0.7589249314467718,0.6690915999468416,0.59731285263034,0.7272486727387231,0.6354585156223038,0.6659104224658222,0.6362827032800962,0.7474579006207712,0.6682586873260637,0.6215754339615975,0.5924200881272554,0.5316837545891758,0.3857717441681486,0.3817654259502888,0.43886380836011085,0.6577661739928382,0.37959311343729496,0.33320251349747804,0.5963978266343475,0.9423737049102783,0.5285483926534653,0.7875732988119125,0.3602289952199499,0.30923906955268876,0.580988292892774,0.2374808012197415,0.4725054173807924,0.3278825123367521,0.9081562757492065,0.999893069267273,0.9973925352096558,0.9971451163291931,0.2095470428466797
Layer_27,0.061942165564107164,0.8452865131003604,0.9355097712086351,0.9114699756992715,0.796828662769662,0.8670011354019729,0.7885066058952361,0.6494439848853896,0.8380222325471954,0.7001387898215197,0.7001962960032481,0.7977736784766117,0.8492972844026305,0.7509455103991609,0.748972949539793,0.6799296667070492,0.7121748154284433,0.5368803418599642,0.6308030962944031,0.7191392956010532,0.8890307715960911,0.6303600805501143,0.3763823478172223,0.8086267471313476,0.9755201220512391,0.662396002933383,0.8189543306827545,0.480652317404747,0.3182862135472533,0.7420094708601633,0.4531373083591461,0.6085151055206856,0.3930214481661096,0.9921175837516785,0.99997878074646,0.9993736147880554,0.9989380240440369,0.8440582752227783
Layer_28,0.24305958239407352,0.8271338145610443,0.9455224602114434,0.9065683521995587,0.8238704995148711,0.8681399069908189,0.815785764530301,0.6915101187769324,0.882426972914901,0.7935223245941516,0.7652184583778893,0.8310672843998129,0.8430523604267475,0.7684409296648069,0.8476921032214987,0.7970067608453657,0.8109048289479688,0.6205689762360774,0.7249619491398335,0.7992094671353698,0.8963528786386762,0.6968381206194559,0.6145554967224598,0.8633979082107544,0.9637174844741822,0.7929296169430018,0.8637512803077698,0.8739227175712585,0.508797827642411,0.8569813172022501,0.7848019599914551,0.6938077807426453,0.5573831067692178,0.9960936903953552,0.9998962879180908,0.9988746047019958,0.9994484782218933,0.950553297996521
Layer_29,0.6738756812788957,0.8704536802070156,0.9678242490595619,0.9477363393775055,0.7935882012049357,0.8767599092751015,0.8886993430554867,0.8053192156884406,0.9201567139890459,0.854550388124254,0.8924980580806732,0.9044350196014751,0.9203830316211238,0.856537379098661,0.8712246006932752,0.8496043889418893,0.8231872037053108,0.7165218477065747,0.7682657331228256,0.7164157163351774,0.8394405288355691,0.8851190110047659,0.6714161609609922,0.7243569970130921,0.9785634756088257,0.9396727919578552,0.9078656673431397,0.8382295608520508,0.682859942317009,0.9851141174634298,0.8754416306813558,0.956389049688975,0.7952207326889038,0.9999674558639526,0.9999818801879883,0.9999918937683105,0.9999762773513794,0.9745171070098877
