Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,13_token,14_token,15_token,16_token,17_token,18_token,19_token,20_token,21_token,22_token,23_token,24_token,25_token,26_token,27_token,28_token,29_token,30_token,31_token,32_token,33_token,34_token,35_token,36_token,37_token,38_token,39_token,40_token,41_token,42_token,43_token,44_token,45_token,46_token,47_token,48_token,49_token,50_token,51_token,52_token,53_token,54_token,55_token,56_token,57_token,58_token,59_token,60_token,61_token,62_token,63_token,64_token,65_token,66_token,67_token,68_token,69_token,70_token,71_token,72_token,73_token,74_token,75_token,76_token,77_token,78_token,79_token,80_token,81_token,82_token,83_token,84_token,85_token,86_token,87_token,88_token,89_token,90_token,91_token
Layer_11,4.229180463305407e-06,5.722165970732706e-05,0.0002821251036065703,4.411298112371408e-05,6.35013838782199e-05,9.649582571541992e-05,5.473489267346113e-05,5.962589847548518e-05,9.478595036291893e-05,0.0001236062431049981,0.0001595839787445458,7.966466094625929e-05,7.659683331551781e-05,0.00016988634356830058,0.0010287582002210178,7.478795766364642e-05,0.00015020566328434354,5.6040259822236865e-05,3.786422835826764e-05,0.00015379852861944942,0.002987066515813889,0.00013687112862511677,0.00034477499175158825,4.9661959004316196e-05,3.181446525231538e-05,0.0001467414713333738,0.00022443193693475591,0.00016828810408164863,6.93381489052245e-05,7.655382551116455e-05,3.0792649825199475e-05,0.034196319871924744,3.359609517934073e-05,7.060326304326736e-05,4.758095016102162e-05,6.513096397738306e-05,0.0006146371282814774,2.39825985838747e-05,0.0006957385056683815,0.00025001681436265244,1.4694433067082477e-05,3.858969067651843e-06,0.0001756945095192148,3.312347865542304e-05,1.5918626672828395e-05,1.1552915104573458e-05,2.5929859031492697e-05,1.9896909094541115e-05,4.702891396313191e-06,0.00019166365150979914,3.957173562087389e-05,5.342035742777236e-06,2.2033059437376323e-05,6.051307244498665e-06,0.000846891146470138,3.858784953893389e-05,1.8718644643708364e-05,3.7199724639928413e-06,1.3752597131618435e-05,1.7815817713540127e-05,0.00024908991096358096,6.727222338440698e-05,5.354060840545572e-06,8.631030260630723e-06,1.9137562560445076e-05,1.8564939455245622e-05,1.6270380970695442e-05,5.372080727283901e-06,5.471631396858356e-06,6.54706917657677e-06,2.7139340090798214e-06,3.981061657517178e-06,2.6737182210467836e-06,5.969157882645959e-06,7.385413482552394e-06,1.802819679141976e-05,4.2192364162474405e-06,2.0255647541489452e-06,8.793060260359198e-06,1.88219164556358e-05,5.65239474781265e-07,1.3019057405472267e-06,7.21294418326579e-06,1.2849637641920708e-05,1.3649341781274416e-06,6.565364401467377e-06,1.1725813209295666e-07,3.382595878065331e-06,9.01424209587276e-06,3.722592964550131e-06,2.106296051351819e-06
Layer_12,4.764967676935245e-06,3.8695465867462216e-05,0.00018193078490172276,4.9648718704677446e-05,4.4696667912972834e-05,0.0001714171981971862,3.8911678757869836e-05,5.8792498320522794e-05,7.176753227788879e-05,7.321418843275751e-05,0.0007258114679372707,9.022807888486979e-05,0.00012236194700951787,0.00011857417510644668,0.001515735367659671,0.00029905597162713433,0.00015336208481642188,8.672941402734134e-05,3.933661527682212e-05,0.0001093583905583429,0.0025038237534855093,9.051185143548174e-05,0.0005395914552373246,7.924633744496842e-05,2.460133354502964e-05,4.274205985202654e-05,3.512751639597219e-05,0.00012878158054674405,6.0875520821969444e-05,4.452555228150838e-05,5.5266910293922864e-05,0.022297614696772144,3.1848874187452885e-05,0.00014492427503967064,3.243436348141257e-05,0.00014077240035829044,0.00045801474266606116,8.753806066051442e-06,0.0005446964164304648,0.0011505800655982057,9.922943257202456e-06,6.867949136019686e-06,0.0002349320618553937,7.690475137501885e-05,7.844462435624422e-06,1.0464856107006426e-05,1.7469883911047646e-05,1.7201331026228672e-05,5.056306299877633e-06,4.542059042478286e-05,5.1369427459186614e-05,5.622311675779201e-06,7.92621280457492e-06,5.96999584396534e-06,0.0007771081684861006,2.8490036405466007e-05,2.793793935040867e-05,9.895253469949239e-06,9.546075768677534e-06,7.586585600923475e-06,0.0005100996086563706,8.375832817364425e-06,6.079997217511846e-06,6.622294574754051e-06,4.876849914126069e-05,4.326482419401145e-05,5.67619406126596e-05,1.8352711202851423e-05,7.836008848016718e-06,1.444108033865632e-05,3.2019063667121372e-06,3.627503171325467e-06,2.655882937574461e-06,4.285338036424946e-06,1.581101787451189e-05,1.819939643610269e-05,9.094895176531281e-06,2.17434462683741e-05,1.997711297008209e-05,2.2304946469375864e-05,1.1096789194198209e-06,3.03572687698761e-06,9.712402061268222e-06,5.6299654715985525e-06,1.0640322216204368e-05,6.6893844632431865e-06,3.1866309768702195e-07,1.5387033272418194e-05,2.9483449907274917e-05,2.791260840240284e-06,3.230695028832997e-06
Layer_13,6.088011956089755e-06,4.0981067884122334e-05,0.0003049521829754445,5.64369225873167e-05,0.00011326750481091049,0.00015860554000891023,5.048170526631962e-05,7.389525520084902e-05,0.00013108363515263607,0.00011055957390319569,0.0010525928717170755,0.00011716089418014277,0.0002878675417691505,0.00012093151267801591,0.0011362289224206355,0.00022412409263520308,0.00038914544687083334,0.00015215773828943085,0.00012187680822920676,0.00015030313426639,0.00626095399118639,0.00038446449998421326,0.0003259105403480948,0.0002108782897406317,7.058520273456917e-05,0.00010472436893467869,5.1466216807957483e-05,0.00015113850624670633,0.00010198093244734844,5.704946670164191e-05,0.00014637847175962365,0.016252935058300864,0.00023004435751733146,0.00012767117140697338,4.206807845442818e-05,0.0005721054088851929,0.0012335014279490982,2.138808078098821e-05,0.0016498062829798852,0.00027577925338432993,2.303302887361901e-05,1.2852095826095441e-05,0.00027680473593565894,6.451932492584294e-05,1.8282502590949434e-05,6.624459330240029e-05,2.8006244242817502e-05,3.118475217434025e-05,1.1478709819101596e-05,0.00011372255331032477,3.940061869148589e-05,1.9806633279780988e-05,7.772584429030108e-06,8.627609905228642e-06,0.00041920503705179205,4.001209187874467e-05,3.78902216817372e-05,8.55474759949478e-06,1.474581699767441e-05,4.654512925602224e-06,6.045897152754757e-05,3.1482060194321093e-06,1.544021010886354e-05,6.254691322737927e-06,1.795671187210246e-05,2.7212201075599296e-05,6.772258050773417e-05,1.8999091025762027e-05,1.767704763722122e-05,2.0180066400143915e-05,4.0749368963588495e-06,1.356684852756492e-05,9.383032278265091e-06,4.921281288261525e-06,3.235088115616236e-06,9.319550372310914e-06,3.880476469930727e-06,6.7078649408358615e-06,7.823780470062047e-05,1.7566278984304518e-05,3.819554422079818e-06,3.2061184356280137e-06,2.9600219932035543e-05,2.6791378331836313e-05,1.1317697499180213e-05,9.397297617397271e-06,2.95155791718571e-06,6.825737364124507e-05,0.00012243424134794623,3.1135232347878627e-06,1.05097315099556e-05
Layer_14,6.648635159414913e-06,0.00010056180360833247,0.0002895218068967895,0.0001044837643147739,0.0001668249346432271,0.00021381339811521344,0.00014185768572045964,0.00016962997898349632,0.00022435709949707348,0.0002221760153570751,0.0019113994981764303,0.0003926752740898178,0.0003150394343141735,0.0002733320412835011,0.0038757342732034924,0.0005552562483756578,0.0012022065486639191,0.0002648733255724802,0.0002797916028287836,0.00036334695539816186,0.0038839966048182135,0.0008272618330889218,0.0012230170650339024,0.00047433904610598307,0.00015730263366085058,0.00022542847532959723,8.993024146654129e-05,0.00022755111840255804,0.00025751742848276464,0.00024359805493660383,0.0003542931079423355,0.017511240232493036,0.0002609501382736475,0.00014547079458679946,0.00010314706231145326,0.000609283654433605,0.0068490301959476104,2.317332063077921e-05,0.0005771678694332293,0.001049310574630495,4.383625946502434e-05,2.0556826648822203e-05,8.263266748700617e-05,0.00015315578883227468,3.0337125291879374e-05,4.235724508561134e-05,5.9235797152723535e-05,2.9990023051595927e-05,2.159512040478262e-05,8.702070281429997e-05,9.361881369126681e-05,6.431402294180901e-05,5.384779282735508e-05,1.74306227255069e-05,7.691121719436264e-05,1.7501332579732726e-05,0.000266255285375954,3.441221698115745e-05,0.0002217174181377383,6.8371256934559215e-06,0.0006958221449243259,1.3571804879575211e-05,3.329398009555007e-05,3.0155185334024283e-05,1.759679012138804e-05,0.00011302034863547306,3.838923408352457e-05,6.469006627867202e-05,2.7269273076058198e-05,2.5336069597869937e-05,9.464557138016971e-06,4.193225720428018e-06,8.466458621114725e-05,2.037529156950768e-05,1.0981982541125035e-06,3.566197619875311e-06,5.431271347333677e-06,8.176029950845987e-05,1.4141572137305047e-05,1.689808050286956e-05,1.0615246537781786e-05,3.998072770627914e-06,0.00010338333231629804,6.476624548668042e-05,5.856486313859932e-05,7.883631042204797e-06,2.3435839011654025e-06,0.0033487402833998203,0.00014715739234816283,8.881141866368125e-07,1.1008533874701243e-05
Layer_15,6.66898280040939e-06,0.0010173282859526984,0.0004382410616454951,0.00012654312275484122,0.00038195959241545775,0.00045172802441663043,0.00048490319683423274,0.0004515447544091978,0.00039665515257167073,0.00043947337049374334,0.0015814795118050929,0.0008223960700705623,0.0011143195543498192,0.0004040717457884798,0.004844851885561663,0.0010793855677490587,0.002075144436430281,0.00026230808261506024,0.0006974975073110785,0.0005458223457286307,0.006223011651267771,0.0014856992309764823,0.001875625170596733,0.00063369533360587,0.0009640956163869479,0.000515183166155067,0.00023468324213440242,0.0004556294646480552,0.0002298717784601796,0.0010762039258411793,0.0004185266776830674,0.03473600588424461,0.0007184004394364662,0.00038424281252278367,0.00031824187993439383,0.0013466597333684363,0.00395717507772891,5.582810262743416e-05,0.0223839090147229,0.003636000074968913,7.0554488805404e-05,2.9760784930961865e-05,6.01353007899282e-05,9.685494534039663e-05,1.9014024049024414e-05,0.00010179281184719002,4.096353808336062e-05,3.309804409923345e-05,2.353138444277647e-05,0.00022624204162724482,8.98277549643873e-05,7.520953373127018e-05,6.734607162733093e-05,1.3601385550795645e-05,3.836892530476429e-05,1.9836869713074634e-05,0.00014479159704348734,1.674919856971731e-05,8.703984948018235e-05,1.2296475813874016e-05,0.0001944848781931796,5.150133165443549e-06,1.042835583575652e-05,1.6443685740341608e-05,1.931598416149427e-05,0.0001678338062106377,7.267759443720933e-05,3.4269038610545974e-05,2.0986588779692283e-05,6.521264168668495e-06,1.727349621205576e-05,7.749401561341074e-06,1.2205237453599693e-05,8.061742119025439e-05,1.3251601558295079e-06,6.512331765406998e-06,1.4332066712086089e-05,8.961087587522343e-05,0.0001897854672279209,2.740387208177708e-05,1.123988567997003e-05,4.825640644412488e-06,8.722682832740247e-05,0.00014097848907113075,6.77052594255656e-06,7.845898835512344e-06,2.8998016205150634e-05,0.0025326458271592855,0.0016341004520654678,2.0851835870416835e-05,6.1176692724984605e-06
Layer_16,1.6377732024078363e-05,0.0028494973462733293,0.004230411884559755,0.0011976281433914002,0.0067522170450368055,0.004836641313752484,0.0025763144680618255,0.005358486362410863,0.004743259197420002,0.0020268403680891544,0.010316852269831919,0.0066667058292993525,0.011368780913654397,0.006847144555969961,0.014468205481553708,0.008471836110394874,0.011683905158549017,0.003822549570337589,0.0017732024509997642,0.0026935373386748314,0.019198038893332943,0.004511711858503657,0.029902864402335014,0.009760315709375142,0.001676289507452353,0.004022019128923348,0.00799759783420676,0.03279841998081068,0.009132757455675699,0.03643143253959368,0.00500939452389612,0.04055440716602789,0.007764066362008872,0.009598810776120103,0.0028894321934147785,0.003900584604600547,0.06832617170536347,0.00030056969282148723,0.03786019519658116,0.0021157783433574714,0.0003103336896149105,0.0001730772899261663,0.0001487620721086892,0.0002590916265809737,0.00021606705458054876,0.0007261782421608132,0.0001548665938457816,0.00039797398096652614,9.54400955777146e-05,0.002439651624513317,0.06936730998232374,0.000261794685359616,0.00010669491635439954,5.740962413775768e-05,0.0003129738438799125,7.190455552777817e-05,0.00185225307606223,0.0006965885569722255,0.0010537648865162434,0.00014048288619979607,0.00016353568632136253,9.255923532691668e-06,1.9075268755841535e-05,2.1470635329023934e-05,6.57700105875847e-05,0.006292078145452251,9.626803212086088e-05,0.0043821342861519955,0.0008573586954696566,3.810414023064368e-05,6.057160734940226e-05,8.29444639596962e-05,1.6666571070800273e-05,2.985196806548629e-05,2.821770431182813e-05,0.0005559977144002914,2.4641447453177534e-05,0.004349971655756235,0.0004884752561338246,3.0844832508591935e-05,0.00010964248212985694,7.925053978397045e-06,4.822247501579113e-05,0.00045483934809453785,0.0002717206662055105,0.0013179893139749765,2.471997868269682e-05,0.21186566352844238,0.0004296849074307829,0.00010825239587575197,8.942241402110085e-05
Layer_17,0.000113305156417357,0.011553591092415341,0.008671416788741323,0.005568916330688132,0.01620565635694521,0.011669601212096063,0.008604010465800845,0.012678613148018955,0.014967993582341034,0.011234518416042671,0.022588266770617527,0.016200408508091357,0.02398278272964126,0.021557864777039103,0.024110902464131917,0.016154226177076094,0.03172763483729264,0.018040663052152347,0.015380434072524403,0.008289791196505842,0.025941691042344485,0.023592504685933345,0.04475377646826157,0.011750451591564631,0.009478173519151496,0.007999564326141587,0.025787935268564634,0.05919200027076954,0.03388786570535411,0.05356299056667986,0.027463791598384652,0.04670045250565636,0.03152363612140186,0.034824515068643966,0.048071071597588694,0.018380733557184132,0.135002831029639,0.002069692299106204,0.10422069121631848,0.009396547026219858,0.0006625187433100008,0.003202559802856639,0.00134628234023795,0.0020933662527006115,0.0002648444020181273,0.001884856572132776,0.0003493575816264638,0.004526135965875255,0.0002559058074496079,0.008050092435951228,0.11050043820013603,0.00026878110994792744,0.000124750313034383,0.00015039025668426933,0.0005489079816080837,0.00042826566037287454,0.0057650932630427375,0.0025749947999429423,0.005185405111054327,9.874763298967082e-05,0.0003566261912055779,1.9206200249755057e-05,9.275256870751036e-05,3.906335223291535e-05,4.165280470260768e-05,0.005863391102320747,6.706034419039497e-05,0.007754401271085953,0.012724004601238903,0.0002379015380302718,0.0003514358648999405,0.00012960841017199223,4.360568323136249e-05,0.0026774180587381124,9.681383744464256e-06,0.00020869928994216025,7.901950448285788e-05,0.01316364947706461,0.0005159454885870218,0.00025041206390596926,0.0009528232621960342,6.542630671901861e-06,5.5136300943559036e-05,0.0014041777467355132,8.355919271707535e-05,0.0021799588575959206,3.499165904941037e-05,0.4405280351638794,0.00020332736312411726,0.0010224803118035197,0.00011005437409039587
Layer_18,0.0002169794593476305,0.016505430952244483,0.018742617049834064,0.00998596862014176,0.02912278371033727,0.02614772526617254,0.02005428362910605,0.03206490132311874,0.03700737440397161,0.02783136698670754,0.042295082552524295,0.032979299311809304,0.03448598855655015,0.03521186396229145,0.029304532425263635,0.02720633649944428,0.039457147932087114,0.024776678404114332,0.03419772574971339,0.028145962420379842,0.047719275185141,0.030091741060486114,0.06689555871468147,0.04142273493925531,0.006180858698434485,0.01932943355015551,0.0417156708934247,0.07649119020661033,0.03946715529218636,0.07973098845601594,0.03670424448034316,0.08429846146574618,0.041858332049741875,0.060600404858397995,0.052643261401243535,0.03420381769966993,0.15234247056529662,0.007111239830205055,0.10293241836136856,0.0050022590722536816,0.00892844820446549,0.007037828210842336,0.0012779378331389227,0.01769322225310235,0.00037878037332461645,0.003710877323328532,0.0005893648701658094,0.009836062219164887,0.0010649146681771526,0.026315472788837724,0.09126014925108653,0.00030227935660929816,0.0014032678265201476,0.005091075570817338,0.0006996818159937643,0.0014140230859993608,0.008077289434108284,0.0018071038957714336,0.01112330919931992,0.00022419237867173555,0.0017224827606696635,0.0005387345141571132,0.00014852073800284416,0.00010028744400187861,5.2900563105140463e-05,0.007625752152671339,9.664814460847992e-05,0.010340420813736272,0.014432028039323086,9.642211244553778e-05,0.0003383300386303745,0.00031484850236059475,3.5624187603389146e-05,0.0038742951583117247,1.8701084627537057e-05,0.0005057108937762678,0.00016111320292111486,0.008399032056331635,0.001200686558149755,0.002153377514332533,0.000895837729331106,0.00018988235387951136,3.1926338124321774e-05,0.006187723483890295,0.00013339669385459274,0.006448821164667606,4.5983346353750676e-05,0.6234254837036133,0.0001310895459027961,0.0036019219551235437,0.0003205138782504946
Layer_19,0.00035224153650964665,0.0248934448499526,0.032196527733921995,0.028082400779706976,0.04117316740431962,0.04616264092554633,0.04197510683995459,0.06171721149368834,0.06190685891851486,0.040658845429131375,0.061507742867966966,0.049507631785440945,0.04286807748854877,0.053714400274486304,0.047332647398373305,0.04043517058661046,0.052174160090029814,0.0338711970925381,0.044234762295516324,0.04152030037438172,0.06220370104647013,0.03445105199502114,0.10842765828403757,0.06674209929655797,0.0285183454628197,0.034193212436792506,0.07895277335752031,0.10420842971427646,0.054392208466343885,0.11985902732916807,0.06358287813711488,0.09296969317516414,0.08623453304631845,0.05335552725452573,0.05653789060043993,0.049154753338879184,0.21183215574261946,0.014922168102657452,0.1742475545297566,0.008979606365425174,0.03529059506468002,0.007945175664745976,0.0012765266658081803,0.0022568367670727538,0.0019591490441825954,0.004472280229549597,0.0027355551728760474,0.02441714188489641,0.0022641992809440126,0.038898649385373574,0.10530902295613487,0.00030071956488037746,0.0043419500699591095,0.00532003158722156,0.007633458938731305,0.0015484802804296902,0.017239693809512704,0.02377033564115057,0.041581869533426165,5.353106121219753e-05,0.00141330359474523,0.0012530909123597666,0.0005792212446976919,9.95364467598847e-05,5.9239520305709446e-05,0.04541108368575806,0.0003244761246605776,0.10441510040836874,0.05660127929809278,6.0825343254578e-05,0.0003647873010663716,0.0006597815275502702,3.52171336999163e-05,0.03902934491634369,2.657810182427056e-05,0.0005609030486084521,0.00042032418423332274,0.007595554925501347,0.0010225661098957062,0.0007968281279318035,0.02537590079009533,0.0004140988166909665,0.00011354796879459172,0.004462907090783119,0.00020658780704252422,0.00951060838997364,4.967240965925157e-05,0.9158070087432861,9.877428965410218e-05,0.0021427052561193705,0.0001512686285423115
Layer_20,0.002391336942183444,0.045496912326957885,0.09539127430009979,0.23964142598212923,0.09107872416225947,0.12787380091872413,0.11509523128463967,0.13864626325052254,0.16029214851257517,0.11534649377771106,0.1406671173518794,0.11637694531343598,0.10728166463236809,0.10765632755747369,0.10197622142921267,0.10147897498868834,0.11590386469517731,0.10360488653754378,0.11764509802196699,0.14365423060338822,0.13340740062127598,0.14633875371526428,0.1619496339170205,0.13987853722689828,0.0867753893448451,0.11450338175078154,0.13700384417385264,0.10223065700824918,0.1240427641668864,0.21152706443456662,0.09454953529198233,0.13219803502361174,0.14018118079540096,0.09451755510555415,0.1165464096255467,0.0971214093722879,0.2757297308361067,0.046702600776500604,0.25121574382267553,0.12101779709618396,0.10619922876165017,0.024851154458752314,0.012954730066364087,0.049322188401371626,0.006030250345020249,0.08415943275863924,0.1174893889001396,0.06438502613082164,0.12163338682398717,0.08228234814396274,0.21724346313833717,0.0006423158961946943,0.025092864448717073,0.012688587684221733,0.0918365840926916,0.011416419823945034,0.14417423955144062,0.3302694074989934,0.21100190334012345,0.009474248751454676,0.01957499248419481,0.0311625004716916,0.0017337648198008538,0.000315154789495864,0.00010811385727720335,0.201330933551435,0.0035521851328667252,0.21293015565606765,0.1782310280814272,6.265086659595909e-05,0.0006205214456258545,0.004670134900758664,0.00012098527076886967,0.3442308008670807,9.577774471836165e-05,0.0009714857442304492,0.003994874190539122,0.820598304271698,0.00228001456707716,0.001420955522917211,0.06327000260353088,0.0026235091499984264,0.00016549161227885634,0.008221134543418884,0.0008577769622206688,0.004725860431790352,6.742277037119493e-05,0.9996732473373413,0.00043516058940440416,0.004269889090210199,0.00015409688057843596
Layer_21,0.004664979425851321,0.07785839164385237,0.20942047264937624,0.2982879129290683,0.14925318754736805,0.1847944973435073,0.17967811979684023,0.2281039725492917,0.21375552790852856,0.17089955239341378,0.1953328647054395,0.17642711339084372,0.1758002134792184,0.1505911860238558,0.13229574401467692,0.15707732398620672,0.15889673820960443,0.16828306457268102,0.15109807264291275,0.21364887604720093,0.19062976217642214,0.19171684178533982,0.24553118314552347,0.17350450781606036,0.12089579965028886,0.1704084563704627,0.21661279956100082,0.14577344185681795,0.1659064813111106,0.2480674709163092,0.1562487060712859,0.18209354076185263,0.1886392941299599,0.1719527213389142,0.11845221442596691,0.20052196646407966,0.40236882122835976,0.08792597974297271,0.2627225315362531,0.09997523857336174,0.16924884937149423,0.06428504635065717,0.016105694116655894,0.12163729930363035,0.01170770462931614,0.14726401105116338,0.10089942871809399,0.07539255043047888,0.12294687193070786,0.10174201682457351,0.21771935773553455,0.0011564884833725436,0.1115422579083705,0.0428526850254067,0.142502880903781,0.02097045806398715,0.14423398671247664,0.32736013321179297,0.216254893005195,0.007314208353515521,0.1422220602495751,0.039772015257040036,0.0011764025497541298,0.00018057852612400892,0.00018708804636844434,0.20169020814500982,0.006136098084971309,0.21595246663782747,0.16602129157854506,0.00025169995490159636,0.0026920012450091235,0.0038395889569073915,0.00013364671394811012,0.9731358289718628,0.00035962744732387364,0.0005641735624521971,0.0031029353849589825,0.99859219789505,0.000535179628059268,0.007379773072898388,0.27061495184898376,0.001380664063617587,0.00012977563892491162,0.0063487933948636055,0.0003405636234674603,0.005710320547223091,0.00041741947643458843,0.9998596906661987,0.0009928466752171516,0.041662152856588364,0.00114968151319772
Layer_22,0.014693121381556479,0.1527080648094645,0.40898857838091485,0.4186278867262444,0.24594331275730447,0.3014127698841182,0.2839790066191826,0.31043887393007646,0.31272024306816826,0.24686253248526915,0.28219324303156534,0.2826063350396766,0.28978338145517113,0.23270018692781724,0.23181738816147487,0.2437613906877267,0.25240634105080256,0.28136493724794476,0.24573266764238447,0.2716290299625354,0.25121352071914993,0.2913736647855317,0.36301216122444463,0.22607420297851852,0.20514801838236466,0.2738594986321415,0.25897895044181496,0.22224898093969614,0.22668406406779879,0.3405406154680046,0.27390911283242125,0.25492152335363866,0.21670266690952025,0.22200787601582306,0.17033482520158336,0.3010857855924234,0.4306954198723209,0.3306083465821367,0.25973531386625837,0.12617027095521652,0.2846567785634559,0.19404795041150968,0.03931338847198478,0.1921825988223039,0.07832058279427656,0.14800742017297353,0.12241925572288892,0.22869513519617612,0.14085649682010626,0.25575340810610214,0.30921171658402663,0.007157444205534246,0.1682053507159123,0.1679270081528687,0.14325458643855069,0.03116138576920743,0.1956677568377927,0.33128626396395094,0.32431433347665006,0.03938878061065528,0.16596940784559897,0.18984050588915125,0.02159853979737818,0.00013705158798984484,0.0003927355402993271,0.36366400953702394,0.004601886129239574,0.3756845169351436,0.24677592039188312,0.0001823512907321856,0.0036139751697419342,0.02332101824382941,0.00015102278121048585,0.935595691204071,0.000394220493035391,0.00211442937143147,0.002941985847428441,0.998468816280365,0.0006306087598204613,0.08286169916391373,0.31725239753723145,0.037967026233673096,0.0002658525772858411,0.015737192705273628,0.00026925114798359573,0.005558597389608622,0.0013193715130910277,0.9999626874923706,0.001028865110129118,0.11953235417604446,0.0006052470998838544
Layer_23,0.03435029487474208,0.22568924318048994,0.41814303044078854,0.47388700178228443,0.3279259953684553,0.38435032168596106,0.3837441729755221,0.4120596715313412,0.4098315943063496,0.3561917886194493,0.38066009394031247,0.34428210587531644,0.37569390786857826,0.3392113283856903,0.30540500048733066,0.37521304498599517,0.33369738126969184,0.3481156813246953,0.2864568607939622,0.34685213284373373,0.36270994152876385,0.39879209322152925,0.46381842809425844,0.3262209407592143,0.3093060444562111,0.3816088840056909,0.3511209065609118,0.3004536870598713,0.3495882017931792,0.4786989966249772,0.39477564892021527,0.31583929261018057,0.2936965815564611,0.25629918832946713,0.26255259542469706,0.3529783761169871,0.5300051146800494,0.41797819010389503,0.2395929576076534,0.2697328417059246,0.34030296399174,0.2202462522578167,0.12549907854918274,0.26495607128021625,0.11851169106012094,0.14367549213511666,0.18216603033943102,0.33396465307305334,0.2601251998457883,0.41771792037934574,0.3097859481640626,0.035097422514809296,0.12254539576835148,0.1792535029193719,0.1464810342564046,0.08283714100460722,0.16721518822357342,0.3304526527717826,0.49508484311324236,0.14626260752993403,0.2570070944784675,0.2729955527931452,0.016658504653605632,0.0006682853967504343,0.0009651078733440954,0.3271058027574327,0.01347953707081615,0.46009339690208434,0.26040223269956186,0.0005629384768326418,0.07421990497095976,0.059214347352584205,0.0003723341324075591,0.7828620076179504,0.002889016643166542,0.002599038416519761,0.0701444149017334,0.9828396439552307,0.0014436815399676561,0.26224425435066223,0.954056441783905,0.029698265716433525,0.0009718651417642832,0.05679028108716011,0.0015424008015543222,0.009340466000139713,0.0036775371991097927,0.9996360540390015,0.01331509929150343,0.5087084770202637,0.015997447073459625
Layer_24,0.04240521597007228,0.49231160581530503,0.5438865143677968,0.4803523506008279,0.3891282783563475,0.4613200605767847,0.45650163900540197,0.48952119449021103,0.4829157090536397,0.41772622416280514,0.4383288952258385,0.39511478869926236,0.3941907033965943,0.4116512965286743,0.37390352609857064,0.45351387482074895,0.38464446305574207,0.4072591103933043,0.37761456679727784,0.41488854724991875,0.4034770016586136,0.4446188787222232,0.528757990193422,0.39042249236712945,0.35692458681168115,0.4623588445639413,0.39570341368832757,0.42810778699845287,0.431122384019427,0.533808714178546,0.5154975569130329,0.40205980126931534,0.3955148552868986,0.36972556727905614,0.2450289597602225,0.4383934922036989,0.526210102389329,0.4772602176568138,0.34877524828022743,0.4463992301435527,0.39355328521924093,0.27179392349272447,0.17872001280354904,0.30465482426451573,0.2553986988350516,0.13530372350942343,0.22863420951762237,0.47475021448917687,0.30536283212859416,0.5484290261483693,0.3353229336041425,0.17755914442555618,0.24847431401056902,0.18604554987645575,0.16489039407835143,0.30003211628562504,0.18416069760652526,0.3329382465441692,0.5958386056687838,0.28604482713732676,0.4217200130515266,0.4318781204521656,0.02189076517825015,0.003393550042528659,0.008328315452672541,0.418055061638006,0.061580388672882694,0.7779553294181824,0.2666031127446331,0.1960479041081271,0.3268708052673901,0.08279198159774144,0.0005756879254477099,0.7373441457748413,0.022751690819859505,0.02461802400648594,0.10637203603982925,0.9998897314071655,0.001216112868860364,0.8924398422241211,0.9908111095428467,0.06394504010677338,0.00351313385181129,0.25472086668014526,0.06659544259309769,0.030483530834317207,0.022278910502791405,0.9998418092727661,0.00917295552790165,0.7584506273269653,0.05680885165929794
Layer_25,0.053450559236924274,0.5267627844475742,0.6085517376053822,0.5571336062830168,0.489795299248063,0.561009841030197,0.5201162405540096,0.5731330260209323,0.5712302361601111,0.4858553861711312,0.5251110943432056,0.48153825045419024,0.4678874533028661,0.5356847806501093,0.45136991772426655,0.5034974625825638,0.44875219073221284,0.4827478241941299,0.4499132681343556,0.48932192212231623,0.5049921557941545,0.5300749438979372,0.5863129672029496,0.4831125212637496,0.4246311632255612,0.5739598400511378,0.507519429363743,0.5018260454194206,0.5210182794895782,0.6361854600370862,0.5630258242373303,0.4630354244500631,0.48213377083321457,0.40282723900600104,0.37049148423021605,0.5141257765045499,0.5824388875393197,0.5298106115598264,0.5030568302983218,0.599257017168301,0.45708815366378985,0.33435272168652674,0.46688486613695407,0.2790718263398351,0.4074222374911187,0.12841874727018876,0.2934588035859633,0.4462376171723008,0.351580768765416,0.7112954258918762,0.4376501999041856,0.22122102465696766,0.4011124690462436,0.2839758235744999,0.21339155049229572,0.510912234670416,0.30896157066204716,0.3386520126174825,0.7229571839173635,0.30907035799342947,0.661023165176933,0.3791319400072098,0.06971312290988863,0.022697244700975717,0.11779311085119844,0.450568732060492,0.20592025793157517,0.7546683788299561,0.3057433869689703,0.46203861693356885,0.5856553850899218,0.18939103682835898,0.014099442341830581,0.8710505366325378,0.032632630318403244,0.7477797865867615,0.2934499979019165,0.9999891519546509,0.002063496271148324,0.9663868546485901,0.998675525188446,0.1460433155298233,0.007447673007845879,0.40246349573135376,0.10737209022045135,0.6063910126686096,0.166885107755661,0.9999662637710571,0.024672701954841614,0.8702859282493591,0.27336108684539795
