question,context,our_answer_without_context,our_answer_with_context,entropy_without_context,entropy_with_context
Who created the character repertoire for IOS/IEC 10646?,"Unicode is developed in conjunction with the International Organization for Standardization and shares the character repertoire with ISO/IEC 10646: the Universal Character Set. Unicode and ISO/IEC 10646 function equivalently as character encodings, but The Unicode Standard contains much more information for implementers, covering—in depth—topics such as bitwise encoding, collation and rendering. The Unicode Standard enumerates a multitude of character properties, including those needed for supporting bidirectional text. The two standards do use slightly different terminology.",I cannot verify who created the character repertoire for IOS/IEC 10646.,The character repertoire for ISO/IEC 10646 was created by the International Organization for Standardization (ISO) and the International Electrotechnical Commission (IEC).,0.5306,0.334
"When was Jesse Saunders' ""House Music"" a hit?","Starting in 1984, some of these DJs, inspired by Jesse Saunders' success with ""On and On"", tried their hand at producing and releasing original compositions. These compositions used newly affordable electronic instruments to emulate not just Saunders' song, but the edited, enhanced styles of disco and other dance music they already favored. These homegrown productions were played on Chicago-area radio and in local discothèques catering mainly to African-American and gay audiences. By 1985, although the exact origins of the term are debated, ""house music"" encompassed these locally produced recordings. Subgenres of house, including deep house and acid house, quickly emerged and gained traction.","Jesse Saunders' ""On 2 On"" was released in 1987",1984,0.9067,0.9789
Who proposed a special conference to bring all right-wing organisations together?,"In 1899, a Doncaster member of the Amalgamated Society of Railway Servants, Thomas R. Steels, proposed in his union branch that the Trade Union Congress call a special conference to bring together all left-wing organisations and form them into a single body that would sponsor Parliamentary candidates. The motion was passed at all stages by the TUC, and the proposed conference was held at the Memorial Hall on Farringdon Street on 26 and 27 February 1900. The meeting was attended by a broad spectrum of working-class and left-wing organisations — trades unions represented about one third of the membership of the TUC delegates.",I cannot verify who proposed a special conference to bring all right-wing organisations together.,Thomas R. Steels,0.4575,0.3675
What was first recorded in the 26th century BC.,"The earliest recorded Western philosophy of time was expounded by the ancient Egyptian thinker Ptahhotep (c. 2650–2600 BC), who said, ""Do not lessen the time of following desire, for the wasting of time is an abomination to the spirit."" The Vedas, the earliest texts on Indian philosophy and Hindu philosophy, dating back to the late 2nd millennium BC, describe ancient Hindu cosmology, in which the universe goes through repeated cycles of creation, destruction, and rebirth, with each cycle lasting 4,320,000 years. Ancient Greek philosophers, including Parmenides and Heraclitus, wrote essays on the nature of time.",There is no recorded historical event or information from the 26th century BC.,The earliest recorded Western philosophy of time was not mentioned in the text.,1.0618,1.3578
What was started by people interested in national punk influenced music?,"During the initial punk era, a variety of entrepreneurs interested in local punk-influenced music scenes began founding independent record labels, including Rough Trade (founded by record shop owner Geoff Travis) and Factory (founded by Manchester-based television personality Tony Wilson). By 1977, groups began pointedly pursuing methods of releasing music independently , an idea disseminated in particular by the Buzzcocks' release of their Spiral Scratch EP on their own label as well as the self-released 1977 singles of Desperate Bicycles. These DIY imperatives would help form the production and distribution infrastructure of post-punk and the indie music scene that later blossomed in the mid-1980s.",The Ramones,Independent record labels,2.4127,0.9817
What was founded in 1902?,"The Communist Party of China, founded in 1920, adopted the red flag and hammer and sickle emblem of the Soviet Union, which became the national symbols when the Party took power in China in 1949. Under Party leader Mao Zedong, the Party anthem became ""The East Is Red"", and Mao Zedong himself was sometimes referred to as a ""red sun"". During the Cultural Revolution in China, Party ideology was enforced by the Red Guards, and the sayings of Mao Zedong were published as a small red book in hundreds of millions of copies. Today the Communist Party of China claims to be the largest political party in the world, with eighty million members.",I'm ready to provide factual answers. What was founded in 1902?,The Communist Party of China was founded in 1920.,0.7588,0.6351
Who asserts that they will respond to direct contracts requesting material be removed from Web sites?,"The Internet Archive states, however, ""Sometimes a website owner will contact us directly and ask us to stop crawling or archiving a site. We comply with these requests."" In addition, the web site says: ""The Internet Archive is not interested in preserving or offering access to Web sites or other Internet documents of persons who do not want their materials in the collection.""",The Digital Millennium Copyright Act (DMCA) asserts that websites will respond to direct contracts requesting material be removed from websites.,The Internet Archive.,0.5252,0.4318
What forms were snow and ice accumulation is equal to its melting,"Glaciers form where the accumulation of snow and ice exceeds ablation. The area in which a glacier forms is called a cirque (corrie or cwm) - a typically armchair-shaped geological feature (such as a depression between mountains enclosed by arêtes) - which collects and compresses through gravity the snow which falls into it. This snow collects and is compacted by the weight of the snow falling above it forming névé. Further crushing of the individual snowflakes and squeezing the air from the snow turns it into 'glacial ice'. This glacial ice will fill the cirque until it 'overflows' through a geological weakness or vacancy, such as the gap between two mountains. When the mass of snow and ice is sufficiently thick, it begins to move due to a combination of surface slope, gravity and pressure. On steeper slopes, this can occur with as little as 15 m (50 ft) of snow-ice.",Melting point,Glaciers form where snow and ice accumulation equals ablation.,2.1958,0.8379
What do some voters not always agree with?,"In brief, there is disagreement among historical analysts as to the exact time period when the minority leadership emerged officially as a party position. Nonetheless, it seems safe to conclude that the position emerged during the latter part of the 19th century, a period of strong party organization and professional politicians. This era was ""marked by strong partisan attachments, resilient patronage-based party organizations, and...high levels of party voting in Congress."" Plainly, these were conditions conducive to the establishment of a more highly differentiated House leadership structure.","Some voters may not always agree with:

1. Tax increases
2. Gun control laws
3. Immigration policies
4. Abortion laws
5. Climate change policies
6. Same-sex marriage
7. Capital punishment
8. Government spending
9. Healthcare reform
10. National security measures",Some voters do not always agree with the minority leadership.,0.779,0.6971
What widely adopted solution did Unicode provide?,"In terms of the newline, Unicode introduced U+2028 LINE SEPARATOR and U+2029 PARAGRAPH SEPARATOR. This was an attempt to provide a Unicode solution to encoding paragraphs and lines semantically, potentially replacing all of the various platform solutions. In doing so, Unicode does provide a way around the historical platform dependent solutions. Nonetheless, few if any Unicode solutions have adopted these Unicode line and paragraph separators as the sole canonical line ending characters. However, a common approach to solving this issue is through newline normalization. This is achieved with the Cocoa text system in Mac OS X and also with W3C XML and HTML recommendations. In this approach every possible newline character is converted internally to a common newline (which one does not really matter since it is an internal operation just for rendering). In other words, the text system can correctly treat the character as a newline, regardless of the input's actual encoding.",The Unicode Standard.,Unicode provided the widely adopted solution of U+2028 LINE SEPARATOR and U+2029 PARAGRAPH SEPARATOR.,1.3243,0.3969
What does not reduce filament evaporation?,"While inert gas reduces filament evaporation, it also conducts heat from the filament, thereby cooling the filament and reducing efficiency. At constant pressure and temperature, the thermal conductivity of a gas depends upon the molecular weight of the gas and the cross sectional area of the gas molecules. Higher molecular weight gasses have lower thermal conductivity, because both the molecular weight is higher and also the cross sectional area is higher. Xenon gas improves efficiency because of its high molecular weight, but is also more expensive, so its use is limited to smaller lamps.",Humidity,Nothing.,2.2602,2.2211
What did German scientists find in Eritrea?,"At Buya in Eritrea, one of the oldest hominids representing a possible link between Homo erectus and an archaic Homo sapiens was found by Italian scientists. Dated to over 1 million years old, it is the oldest skeletal find of its kind and provides a link between hominids and the earliest anatomically modern humans. It is believed that the section of the Danakil Depression in Eritrea was also a major player in terms of human evolution, and may contain other traces of evolution from Homo erectus hominids to anatomically modern humans.",I couldn't find any information about German scientists finding something in Eritrea.,German scientists did not find anything in Eritrea.,0.5185,0.5611
What two roads connect Utrecht to the rest of Europe?,"Utrecht is well-connected to the Dutch road network. Two of the most important major roads serve the city of Utrecht: the A12 and A2 motorways connect Amsterdam, Arnhem, The Hague and Maastricht, as well as Belgium and Germany. Other major motorways in the area are the Almere–Breda A27 and the Utrecht–Groningen A28. Due to the increasing traffic and the ancient city plan, traffic congestion is a common phenomenon in and around Utrecht, causing elevated levels of air pollutants. This has led to a passionate debate in the city about the best way to improve the city's air quality.",The A2 and A12 highways connect Utrecht to the rest of Europe.,The A12 and A2 motorways.,0.7187,0.2863
In Scotland what word is mainly used instead of university?,"Colloquially, the term university may be used to describe a phase in one's life: ""When I was at university..."" (in the United States and Ireland, college is often used instead: ""When I was in college...""). In Australia, Canada, New Zealand, the United Kingdom, Nigeria, the Netherlands, Spain and the German-speaking countries university is often contracted to uni. In Ghana, New Zealand and in South Africa it is sometimes called ""varsity"" (although this has become uncommon in New Zealand in recent years). ""Varsity"" was also common usage in the UK in the 19th century.[citation needed] ""Varsity"" is still in common usage in Scotland.","In Scotland, the word ""university"" is often replaced with ""university"" or ""uni"".","In Scotland, the word ""varsity"" is mainly used instead of ""university"".",0.9571,0.4597
What species is found ranging from Canada to Utah?,"One species in particular received widespread attention—the whooping crane. The species' historical range extended from central Canada South to Mexico, and from Utah to the Atlantic coast. Unregulated hunting and habitat loss contributed to a steady decline in the whooping crane population until, by 1890, it had disappeared from its primary breeding range in the north central United States. It would be another eight years before the first national law regulating wildlife commerce was signed, and another two years before the first version of the endangered species act was passed. The whooping crane population by 1941 was estimated at about only 16 birds still in the wild.",Bighorn Sheep,The species found ranging from Canada to Utah is the Whooping Crane.,1.0457,0.4025
Why would someone use a bipolar transistor instead of a field-effect transistor?,"There are two types of transistors, which have slight differences in how they are used in a circuit. A bipolar transistor has terminals labeled base, collector, and emitter. A small current at the base terminal (that is, flowing between the base and the emitter) can control or switch a much larger current between the collector and emitter terminals. For a field-effect transistor, the terminals are labeled gate, source, and drain, and a voltage at the gate can control a current between source and drain.","A bipolar transistor is often used instead of a field-effect transistor (FET) in certain applications due to its higher current gain, lower noise, and faster switching times.",Someone would use a bipolar transistor instead of a field-effect transistor when they need to control a larger current between the collector and emitter terminals with a smaller current at the base terminal.,0.7314,0.5363
The concept of matter has not changed for what reason?,"The concept of matter has changed in response to new scientific discoveries. Thus materialism has no definite content independent of the particular theory of matter on which it is based. According to Noam Chomsky, any property can be considered material, if one defines matter such that it has that property.",The concept of matter has not changed because it is a fundamental principle of physics that has been consistently supported by scientific evidence and observations since the 17th century.,New scientific discoveries.,1.1241,0.6503
Which ESPN channels are unavailable for Comcast?,"Comcast delivers third-party television programming content to its own customers, and also produces its own first-party content both for subscribers and customers of other competing television services. Fully or partially owned Comcast programming includes Comcast Newsmakers, Comcast Network, Comcast SportsNet, SportsNet New York, MLB Network, Comcast Sports Southeast/Charter Sports Southeast, NBC Sports Network, The Golf Channel, AZN Television, and FEARnet. On May 19, 2009, Disney and ESPN announced an agreement to allow Comcast Corporation to carry the channels ESPNU and ESPN3. The U.S. Olympic Committee and Comcast intended to team up to create The U.S. Olympic Network, which was slated to launch after the 2010 Vancouver Olympic Games. These plans were then put on hold by the U.S. Olympic Committee. The U.S. Olympic Committee and Comcast have ended the plans to create The U.S. Olympic Network.","ESPN channels unavailable for Comcast include:

- ESPN Classic
- ESPN Buzzer Beater
- ESPN Goal Line
- ESPN News
- ESPN Deportes",ESPN channels unavailable for Comcast are not mentioned in the given context.,1.5391,0.9164
When does a diversity of magnoliids appear in the fossil record?,"The great angiosperm radiation, when a great diversity of angiosperms appears in the fossil record, occurred in the mid-Cretaceous (approximately 100 million years ago). However, a study in 2007 estimated that the division of the five most recent (the genus Ceratophyllum, the family Chloranthaceae, the eudicots, the magnoliids, and the monocots) of the eight main groups occurred around 140 million years ago. By the late Cretaceous, angiosperms appear to have dominated environments formerly occupied by ferns and cycadophytes, but large canopy-forming trees replaced conifers as the dominant trees only close to the end of the Cretaceous 66 million years ago or even later, at the beginning of the Tertiary. The radiation of herbaceous angiosperms occurred much later. Yet, many fossil plants recognizable as belonging to modern families (including beech, oak, maple, and magnolia) had already appeared by the late Cretaceous.","Magnoliids (magnolias and their relatives) first appear in the fossil record during the Early Cretaceous period, approximately 145 million years ago.",The diversity of magnoliids appears in the fossil record around 140 million years ago.,0.7901,0.3115
What kind of planning was influenced by classical architecture?,"Neoclassicism also influenced city planning; the ancient Romans had used a consolidated scheme for city planning for both defence and civil convenience, however, the roots of this scheme go back to even older civilizations. At its most basic, the grid system of streets, a central forum with city services, two main slightly wider boulevards, and the occasional diagonal street were characteristic of the very logical and orderly Roman design. Ancient façades and building layouts were oriented to these city design patterns and they tended to work in proportion with the importance of public buildings.","Classical architecture influenced urban planning, city design, and landscape architecture.",Neoclassicism influenced city planning.,1.2428,0.8667
What can be measured in the atmosphere?,"Fluids cannot generally be pulled, so a vacuum cannot be created by suction. Suction can spread and dilute a vacuum by letting a higher pressure push fluids into it, but the vacuum has to be created first before suction can occur. The easiest way to create an artificial vacuum is to expand the volume of a container. For example, the diaphragm muscle expands the chest cavity, which causes the volume of the lungs to increase. This expansion reduces the pressure and creates a partial vacuum, which is soon filled by air pushed in by atmospheric pressure.","The atmosphere can be measured in various parameters, including:

1. Temperature
2. Humidity
3. Pressure
4. Ozone levels
5. Carbon dioxide levels
6. Air quality (particulate matter, NOx, SO2, etc.)
7. Wind speed and direction
8. Wind chill
9. Dew point
10. Air density",Air pressure,0.5703,1.803
 What didn't evangelicals want to keep apart?,"Steven Waldman notes that; ""The evangelicals provided the political muscle for the efforts of Madison and Jefferson, not merely because they wanted to block official churches but because they wanted to keep the spiritual and secular worlds apart."" ""Religious freedom resulted from an alliance of unlikely partners,"" writes the historian Frank Lambert in his book The Founding Fathers and the Place of Religion in America. ""New Light evangelicals such as Isaac Bachus and John Leland joined forces with Deists and skeptics such as James Madison and Thomas Jefferson to fight for a complete separation of church and state.""","Evangelicals, a subgroup of Christians, did not want to keep apart the following: 

1. Slaves and their owners",Evangelicals wanted to keep the spiritual and secular worlds apart.,1.6761,0.2648
When was the colonial period?,"There are a number of radio news agencies based in Somalia. Established during the colonial period, Radio Mogadishu initially broadcast news items in both Somali and Italian. The station was modernized with Russian assistance following independence in 1960, and began offering home service in Somali, Amharic and Oromo. After closing down operations in the early 1990s due to the civil war, the station was officially re-opened in the early 2000s by the Transitional National Government. In the late 2000s, Radio Mogadishu also launched a complementary website of the same name, with news items in Somali, Arabic and English.","The colonial period typically refers to the time when European powers established colonies in the Americas, Africa, and Asia from the 15th to the 19th century.",The colonial period in Somalia was from approximately 1889 to 1960.,0.6666,0.7317
What literary philosophical language was used in Greater India?,"Sanskrit (/ˈsænskrɪt/; Sanskrit: saṃskṛtam [səmskr̩t̪əm] or saṃskṛta, originally saṃskṛtā vāk, ""refined speech"") is the primary sacred language of Hinduism, a philosophical language in Buddhism, Hinduism, Sikhism and Jainism, and a literary language that was in use as a lingua franca in Greater India. It is a standardised dialect of Old Indo-Aryan, originating as Vedic Sanskrit and tracing its linguistic ancestry back to Proto-Indo-Iranian and Proto-Indo-European. Today it is listed as one of the 22 scheduled languages of India and is an official language of the state of Uttarakhand. As one of the oldest Indo-European languages for which substantial written documentation exists, Sanskrit holds a prominent position in Indo-European studies.","I'm not sure what you mean by ""literary philosophical language in Greater India."" Could you provide more context or clarify what you are referring to?",Sanskrit,0.5775,0.7044
What organization do airfields manage?,"The defence estate is divided as training areas & ranges (84.0%), research & development (5.4%), airfields (3.4%), barracks & camps (2.5%), storage & supply depots (1.6%), and other (3.0%). These are largely managed by the Defence Infrastructure Organisation.",Airfields typically manage airports.,The Defence Infrastructure Organisation.,0.8115,0.3076
"Which term meaning ""the mother book"" doesn't the Quran apply to itself?","The Quran describes itself as ""the discernment"" (al-furqān), ""the mother book"" (umm al-kitāb), ""the guide"" (huda), ""the wisdom"" (hikmah), ""the remembrance"" (dhikr) and ""the revelation"" (tanzīl; something sent down, signifying the descent of an object from a higher place to lower place). Another term is al-kitāb (The Book), though it is also used in the Arabic language for other scriptures, such as the Torah and the Gospels. The adjective of ""Quran"" has multiple transliterations including ""quranic"", ""koranic"", and ""qur'anic"", or capitalised as ""Qur'anic"", ""Koranic"", and ""Quranic"". The term mus'haf ('written work') is often used to refer to particular Quranic manuscripts but is also used in the Quran to identify earlier revealed books. Other transliterations of ""Quran"" include ""al-Coran"", ""Coran"", ""Kuran"", and ""al-Qurʼan"".","The Quran refers to itself as ""Umm al-Kitab"" (الumm al-Kitab), which translates to ""The Mother Book"".","The Quran applies to itself as ""the mother book"" (umm al-kitāb).",0.988,0.5276
What had seven horns?,"""So he carried me away in the spirit into the wilderness: and I saw a woman sit upon a scarlet coloured beast, full of names of blasphemy, having seven heads and ten horns. ""And the woman was arrayed in purple and scarlet colour, and decked with gold and precious stones and pearls, having a golden cup in her hand full of abominations and filthiness of her fornication: ""And upon her forehead was a name written a mystery: Babylon the Great, the Mother of Harlots and of all the abominations of the earth: And I saw the woman drunken with the blood of the saints, and with the blood of the martyrs of Jesus.",The Seven Dwarfs.,"The answer to ""What had seven horns?"" is the woman in Revelation 17:3, also known as Babylon the Great.",0.7078,0.8013
What rebellion began in South Mali?,"In January 2012 a Tuareg rebellion began in Northern Mali, led by the National Movement for the Liberation of Azawad. In March, military officer Amadou Sanogo seized power in a coup d'état, citing Touré's failures in quelling the rebellion, and leading to sanctions and an embargo by the Economic Community of West African States. The MNLA quickly took control of the north, declaring independence as Azawad. However, Islamist groups including Ansar Dine and Al-Qaeda in the Islamic Maghreb (AQIM), who had helped the MNLA defeat the government, turned on the Tuareg and took control of the North with the goal of implementing sharia in Mali.",The Tuareg rebellion that began in Mali was the Tuareg Rebellion of 1990.,A Tuareg rebellion.,0.8734,0.5632
In what year did Edward Heath become the British prime minister?,"In February 1974, the British Prime Minister, Edward Heath, advised the Queen to call a general election in the middle of her tour of the Austronesian Pacific Rim, requiring her to fly back to Britain. The election resulted in a hung parliament; Heath's Conservatives were not the largest party, but could stay in office if they formed a coalition with the Liberals. Heath only resigned when discussions on forming a coalition foundered, after which the Queen asked the Leader of the Opposition, Labour's Harold Wilson, to form a government.",1970,1974,0.8649,0.4382
What were blueware ceramics made from?,"Greenware ceramics made from celadon had been made in the area since the 3rd-century Jin dynasty, but it returned to prominence—particularly in Longquan—during the Southern Song and Yuan. Longquan greenware is characterized by a thick unctuous glaze of a particular bluish-green tint over an otherwise undecorated light-grey porcellaneous body that is delicately potted. Yuan Longquan celadons feature a thinner, greener glaze on increasingly large vessels with decoration and shapes derived from Middle Eastern ceramic and metalwares. These were produced in large quantities for the Chinese export trade to Southeast Asia, the Middle East, and (during the Ming) Europe. By the Ming, however, production was notably deficient in quality. It is in this period that the Longquan kilns declined, to be eventually replaced in popularity and ceramic production by the kilns of Jingdezhen in Jiangxi.","Blue and white ceramics, also known as blue and white porcelain, were made from a combination of materials, primarily:

1. Kaolin (a type of clay)
2. Feldspar
3. Quartz
4. Water
5. Metal oxides, such as cobalt or copper, for the blue pigment","Blueware ceramics were made from a combination of materials, however the text does not mention blueware.",0.6961,1.3382
When was CITES created?,"The Endangered Species Act of 1973 (ESA; 16 U.S.C. § 1531 et seq.) is one of the few dozens of United States environmental laws passed in the 1970s, and serves as the enacting legislation to carry out the provisions outlined in The Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES). The ESA was signed into law by President Richard Nixon on December 28, 1973, it was designed to protect critically imperiled species from extinction as a ""consequence of economic growth and development untempered by adequate concern and conservation."" The U.S. Supreme Court found that ""the plain intent of Congress in enacting"" the ESA ""was to halt and reverse the trend toward species extinction, whatever the cost."" The Act is administered by two federal agencies, the United States Fish and Wildlife Service (FWS) and the National Oceanic and Atmospheric Administration (NOAA).",CITES (Convention on International Trade in Endangered Species of Wild Fauna and Flora) was created in 1973.,"CITES was not mentioned in the given context. However, CITES was created in 1973.",0.1531,0.9487
What did Feynman steal that help in understanding calculations between particles in space and time?,"He also developed Feynman diagrams, a bookkeeping device that helps in conceptualizing and calculating interactions between particles in spacetime, including the interactions between electrons and their antimatter counterparts, positrons. This device allowed him, and later others, to approach time reversibility and other fundamental processes. Feynman's mental picture for these diagrams started with the hard sphere approximation, and the interactions could be thought of as collisions at first. It was not until decades later that physicists thought of analyzing the nodes of the Feynman diagrams more closely. Feynman painted Feynman diagrams on the exterior of his van.",I can't verify what Richard Feynman stole.,He painted Feynman diagrams on the exterior of his van.,1.2236,0.4522
What is one of the main foods eaten in Ethiopia?,"Additionally, owing to its colonial history, cuisine in Eritrea features more Italian influences than are present in Ethiopian cooking, including more pasta and greater use of curry powders and cumin.The Italian Eritrean cuisine started to be practiced during the colonial times of the Kingdom of Italy, when a large number of Italians moved to Eritrea. They brought the use of ""pasta"" to Italian Eritrea, and it is one of the main food eaten in present-day Asmara. An Italian Eritrean cuisine emerged, and dishes common dishes are 'Pasta al Sugo e Berbere', which means ""Pasta with tomato sauce and berbere"" (spice), but there are many more like ""lasagna"" and ""cotoletta alla milanese"" (milano cutlet). Alongside sowa, people in Eritrea also tend to drink coffee. Mies is another popular local alcoholic beverage, made out of honey.",Injera,Injera,0.3957,1.1336
In Cubism what was not architechtural interested base on?,"Architectural interest in Cubism centered on the dissolution and reconstitution of three-dimensional form, using simple geometric shapes, juxtaposed without the illusions of classical perspective. Diverse elements could be superimposed, made transparent or penetrate one another, while retaining their spatial relationships. Cubism had become an influential factor in the development of modern architecture from 1912 (La Maison Cubiste, by Raymond Duchamp-Villon and André Mare) onwards, developing in parallel with architects such as Peter Behrens and Walter Gropius, with the simplification of building design, the use of materials appropriate to industrial production, and the increased use of glass.","In Cubism, the architectural interest was not based on perspective.",The architectural interest in Cubism was not based on,0.6974,0.9449
