context,question,golden_answer,our_answer_wo_context,our_answer_w_context
"A toll road , also known as a turnpike or tollway , is a public or private road for which a fee ( or toll ) is assessed for passage . It is a form of road pricing typically implemented to help recoup the cost of road construction and maintenance .",what is the point of a toll road,help recoup the cost of road construction and maintenance,Toll roads generate revenue.,To recoup construction and maintenance costs.
"`` How Can You Mend a Broken Heart '' Single by Bee Gees from the album Trafalgar B - side `` Country Woman '' Released 28 May 1971 Format 7 `` , 45 rpm Recorded 28 January 1971 IBC Studios , London Length 3 : 57 Label Polydor Atco ( United States , Canada ) Songwriter ( s ) Barry Gibb , Robin Gibb Producer ( s ) Robert Stigwood , Bee Gees Bee Gees singles chronology `` Lonely Days '' ( 1970 ) `` How Can You Mend a Broken Heart '' ( 1971 ) `` Do n't Wanna Live Inside Myself '' ( 1971 ) `` Lonely Days '' ( 1970 ) `` How Can You Mend a Broken Heart '' ( 1971 ) `` Do n't Wanna Live Inside Myself '' ( 1971 )",who wrote how do you mend a broken heart,"Barry Gibb , Robin Gibb","""How Do You Mend a Broken Heart"" by The Bee Gees",Barry Gibb and Robin Gibb.
"`` When I Fall in Love '' is a popular song , written by Victor Young ( music ) and Edward Heyman ( lyrics ) . It was introduced in the film One Minute to Zero . Jeri Southern sang on the first recording released in April 1952 with the song 's composer , Victor Young , handling the arranging and conducting duties . The song has become a standard , with many artists recording it , though the first hit version was sung by Doris Day released in July 1952 .",who sang when i fall in love with you,Jeri Southern,Hank Williams Sr.,Jeri Southern
"D - dimer ( or D dimer ) is a fibrin degradation product ( or FDP ) , a small protein fragment present in the blood after a blood clot is degraded by fibrinolysis . It is so named because it contains two D fragments of the fibrin protein joined by a cross-link .",the d-dimer test detects degradation products from the breakdown of which clotting proteins,fibrin,Fibrin degradation products,Fibrin proteins.
"This list contains the top 25 accounts with the most followers on the social photo - sharing platform Instagram . As of February 2018 , the most followed user is Instagram 's own account , with over 232 million followers . Selena Gomez is the most followed individual , with over 133 million followers . Nine accounts have exceeded 100 million followers on the site .",who has the most followers on insta 2017,Instagram 's own account,Cristiano Ronaldo,Selena Gomez.
"The Sinai Peninsula or simply Sinai ( now usually / ˈsaɪnaɪ / ) is a peninsula in Egypt , and the only part of the country located in Asia . It is situated between the Mediterranean Sea to the north and the Red Sea to the south , and is a land bridge between Asia and Africa . Sinai has a land area of about 60,000 km ( 23,000 sq mi ) and a population of approximately 1,400,000 people . Administratively , the Sinai Peninsula is divided into two governorates : the South Sinai Governorate and the North Sinai Governorate . Three other governorates span the Suez Canal , crossing into African Egypt : Suez Governorate on the southern end of the Suez Canal , Ismailia Governorate in the center , and Port Said Governorate in the north .",to which nation does the sinai peninsula belong,Egypt,Egypt.,Egypt
"The Freedom of the City is an honour bestowed by a municipality upon a valued member of the community , or upon a visiting celebrity or dignitary . Arising from the medieval practice of granting respected citizens freedom from serfdom , the tradition still lives on in countries such as the United Kingdom , Ireland , Australia , Canada , South Africa and New Zealand -- although today the title of `` freeman '' confers no special privileges . The Freedom of the City can also be granted by municipal authorities to military units which have earned the city 's trust ; in this context , it is sometimes called the Freedom of Entry . This allows them the freedom to parade through the city , and is an affirmation of the bond between the regiment and the citizenry .",what is a freedom of the city award,"an honour bestowed by a municipality upon a valued member of the community , or upon a visiting celebrity or dignitary",Freedom of the City is an honor.,An honour bestowed by a municipality.
"The Puritans were a group of English Reformed Protestants in the 16th and 17th centuries who sought to `` purify '' the Church of England from its `` Catholic '' practices , maintaining that the Church of England was only partially reformed .",what type of political communities did puritans form,English Reformed Protestants,"Congregationalism, Theocracy",Colonial settlements
"Monster Hunter : World Developer ( s ) Capcom Publisher ( s ) Capcom Director ( s ) Yuya Tokuda Producer ( s ) Hironobu Takeshita Shingo Izumi Kazunori Inoue Designer ( s ) Teruki Endo Yugo Togawa Programmer ( s ) Yuuki Ooi Kota Fukasawa Artist ( s ) Kaname Fujioka Composer ( s ) Akihiko Narita Zhenlan Kang Series Monster Hunter Engine MT Framework Platform ( s ) PlayStation 4 Xbox One Microsoft Windows Release PlayStation 4 , Xbox One January 26 , 2018 Microsoft Windows Q3 / Q4 2018 Genre ( s ) Action role - playing Mode ( s ) Single - player , multiplayer",when does monter hunter world come out for pc,Q3 / Q4 2018,"Monter Hunter World: Ultimate Survival (not World) release date for PC: 
- January 26, 2018",Q3/Q4 2018
"Volcanic rock ( often shortened to volcanics in scientific contexts ) is a rock formed from magma erupted from a volcano . In other words , it differs from other igneous rock by being of volcanic origin . Like all rock types , the concept of volcanic rock is artificial , and in nature volcanic rocks grade into hypabyssal and metamorphic rocks and constitute an important element of some sediments and sedimentary rocks . For these reasons , in geology , volcanics and shallow hypabyssal rocks are not always treated as distinct . In the context of Precambrian shield geology , the term `` volcanic '' is often applied to what are strictly metavolcanic rocks .",what type of rocks form when lava cools after a volcanic eruption,Volcanic rock,Igneous rocks.,Igneous rocks.
"The signing of the United States Declaration of Independence occurred primarily on August 2 , 1776 at the Pennsylvania State House , Independence Hall in Philadelphia , Pennsylvania . The 56 delegates to the Second Continental Congress represented the 13 former colonies which had declared themselves the `` United States of America , '' and they endorsed the Declaration of Independence which the Congress had approved on July 4 , 1776 . The Declaration proclaimed that the former Thirteen Colonies then at war with Great Britain were now a sovereign , independent nation and thus no longer a part of the British Empire . The signers ' names are grouped by state , with the exception of President of the Continental Congress John Hancock ; the states are arranged geographically from north to south .",who signed the declaration of independence on august 2 1776,56 delegates to the Second Continental Congress,John Hancock,I do not know.
"Kentucky Derby Grade I race The Most Exciting Two Minutes in Sports ; The Run for the Roses Location Churchill Downs Louisville , Kentucky , U.S. Inaugurated 1875 Race type Thoroughbred Website www.kentuckyderby.com Race information Distance 1 ⁄ miles ( 10 furlongs ; 2,012 m ) Record 1 : ​ 59 ⁄ , Secretariat ( 1973 ) Surface Dirt Track Left - handed Qualification 3 - year - old Weight Colt / Gelding : 126 lbs ( 57.2 kg ) Filly : 121 lb ( 55 kg ) Purse US $2 million 1st : $1,425,000 Bonuses US $ 200",what is the world record time for the kentucky derby,"1 : ​ 59 ⁄ , Secretariat ( 1973 )",Record time: 1:59.40,1:59.4
"The American entry into World War I came in April 1917 , after more than two and a half years of efforts by President Woodrow Wilson to keep the United States out of the war . Apart from an Anglophile element urging early support for the British , American public opinion reflected that of the president : the sentiment for neutrality was particularly strong among Irish Americans , German Americans and Scandinavian Americans , as well as among church leaders and among women in general . On the other hand , even before World War I had broken out , American opinion had been more negative toward Germany than towards any other country in Europe . Over time , especially after reports of atrocities in Belgium in 1914 and following the sinking of the passenger liner RMS Lusitania in 1915 , the American people increasingly came to see Germany as the aggressor in Europe .",when did the us enter world war 1,April 1917,"United States entered WWI on April 6, 1917.",In April 1917.
"An acronym is a word or name formed as an abbreviation from the initial components in a phrase or a word , usually individual letters ( as in NATO or laser ) and sometimes syllables ( as in Benelux ) .",words made from the first letters of other words,acronym,"Examples of words made from the first letters of other words:

1. Tom Marvolo Riddle - ""I am Lord Voldemort"" (Harry Potter)
2. S",Abbreviations
"2018 Chick - fil - A Peach Bowl 50th Chick - fil - A Peach Bowl The field prior to the game UCF Knights Auburn Tigers ( 12 -- 0 ) ( 10 -- 3 ) The American SEC 34 27 Head coach : Scott Frost Head coach : Gus Malzahn AP Coaches CFP 10 10 12 AP Coaches CFP 7 8 7 Total UCF 0 13 7 14 34 Auburn 14 7 27 Date January 1 , 2018 Season 2017 Stadium Mercedes - Benz Stadium Location Atlanta , Georgia MVP McKenzie Milton ( QB , UCF ) & Shaquem Griffin ( LB , UCF ) Favorite Auburn by 10.5 Referee Brandon Cruse ( Big XII ) Attendance 71,109 Payout US $ 6,000,000 per team United States TV coverage Network ESPN and ESPN Radio Announcers Dave Flemming , Brock Huard , and Allison Williams ( ESPN ) Tom Hart , Jordan Rodgers and Cole Cubelic ( ESPN Radio ) International TV coverage Network ESPN Peach Bowl < 2016 2019 >",who won the game between auburn and ufc,UCF Knights,I couldn't find any information about a game between Auburn and UFC.,Auburn won.
`` I Am a Child of God '' is a Latter - day Saint hymn and song for children . The lyrics were written in 1957 by Naomi W. Randall and set to music by Mildred Tanner Pettit . The song has been translated into over 90 languages . The phrase `` I Am a Child of God '' is also used in The Church of Jesus Christ of Latter - day Saints ( LDS Church ) as a declaration of a basic teaching of the church .,when was i am a child of god written,1957,"I Am a Child of God, a novel by Charles Manson, was published in 1970.",1957
This article is part of the series on the United States Supreme Court The Court Decisions Procedure History Court Building Current membership Chief Justice John Roberts Associate Justices Clarence Thomas Ruth Bader Ginsburg Stephen Breyer Samuel Alito Sonia Sotomayor Elena Kagan Neil Gorsuch 1 seat vacant Retired Associate Justices John Paul Stevens Sandra Day O'Connor Anthony Kennedy David Souter All members List of all justices by court by seat by time in office by education List of Chief Justices List of Associate Justices Specialty lists All nominations Unsuccessful nominations Nominations late in presidency Court demographics Justices who served in Congress Ideological leanings of justices Court functionaries Clerks Reporter of Decisions Marshal of the Court Supreme Court Police Other countries Law Portal,who are the current members of the us supreme court,John Roberts Associate Justices Clarence Thomas Ruth Bader Ginsburg Stephen Breyer Samuel Alito Sonia Sotomayor Elena Kagan Neil Gorsuch,"1. John G. Roberts Jr. - Chief Justice
2. Clarence Thomas
3. Samuel A. Alito Jr.
4. Sonia Sotomayor","1. Chief Justice John Roberts
2. Clarence Thomas
3. Ruth Bader Ginsburg
4. Stephen Breyer
5. Samuel Alito
6"
"United States Department of the Interior Seal of the U.S. Department of the Interior Flag of the U.S. Department of the Interior Main Interior Building Agency overview Formed March 3 , 1849 ; 169 years ago ( 1849 - 03 - 03 ) Type Department Headquarters Main Interior Building 1849 C Street NW Washington , D.C. , U.S. 38 ° 53 ′ 37.11 '' N 77 ° 2 ′ 33.33 '' W ﻿ / ﻿ 38.8936417 ° N 77.0425917 ° W ﻿ / 38.8936417 ; - 77.0425917 Employees 70,003 ( 2012 ) Annual budget $20.7 billion ( 2013 ) Agency executives Ryan Zinke , Secretary David L. Bernhardt , Deputy Secretary Website www.DOI.gov",when was the department of the interior created,"March 3 , 1849",Department of the Interior created 1849.,"March 3, 1849."
"Warriors Boxed sets of the Warriors : The Prophecies Begin and Warriors : The New Prophecy series Warriors : The Prophecies Begin ( 2003 -- 2004 ) Warriors : The New Prophecy ( 2005 -- 2006 ) Warriors : Power of Three ( 2007 -- 2009 ) Warriors : Omen of the Stars ( 2009 -- 2012 ) Warriors : Dawn of the Clans ( 2013 -- 2015 ) Warriors : A Vision of Shadows ( 2016 -- 2018 ) Warriors : The Broken Code ( 2019 - ) Warriors : Super Edition Author Erin Hunter Illustrator Wayne McLoughlin Owen Richardson Country United Kingdom United States Language English Genre Children 's fiction , fantasy , young adult fiction Publisher HarperCollins Published January 21 , 2003 -- present Website www.warriorcats.com",when was the first warrior cat book released,2003 -- 2004,Warriors: Into the Wild,"January 21, 2003"
"Darth Vader Anakin Skywalker Star Wars character David Prowse as Darth Vader in The Empire Strikes Back ( 1980 ) First appearance Star Wars : A New Hope ( 1977 ) Last appearance Rogue One : A Star Wars Story ( 2016 ) Created by George Lucas Darth Vader Portrayed by David Prowse ( Episodes IV -- VI ) Hayden Christensen ( Episode III ) Gene Bryant ( Episode III ) Spencer Wilding ( Rogue One ) Daniel Naprous ( Rogue One ) Voiced by James Earl Jones ( voice ) Ben Burtt ( vocal effects ) Stunt double Bob Anderson ( Episodes V -- VI ; stunts ) In other media Brock Peters ( radio drama ) Scott Lawrence ( video games ) Matt Sloan ( video games ) Anakin Skywalker Portrayed by Jake Lloyd ( Episode I ) Hayden Christensen ( Episodes II -- III , Episode VI post-2004 DVD version ) Sebastian Shaw ( Episode VI ) Voiced by Mat Lucas ( Clone Wars ) Matt Lanter ( The Clone Wars , Rebels , Forces of Destiny ) Hayden Christensen ( Rebels ; archival audio )",who plays darth vader in the star wars movies,David Prowse ( Episodes IV -- VI ) Hayden Christensen ( Episode III ) Gene Bryant ( Episode III ) Spencer Wilding ( Rogue One ) Daniel Naprous ( Rogue One ),David Prowse,"David Prowse, Hayden Christensen, Spencer Wilding, Daniel Naprous."
"Amazon River ( Amazonia ) Apurímac , Ene , Tambo , Ucayali , Amazonas , Solimões River Sunset over the Amazon near Leticia , Colombia Countries Brazil , Colombia , Peru Tributaries - left Marañón , Japurá / Caquetá , Rio Negro / Guainía , Putumayo - right Ucayali , Purús , Madeira , Tapajós , Xingu City Iquitos ( Peru ) ; Leticia ( Colombia ) ; Tabatinga ( Brazil ) ; Tefé ( Brazil ) ; Itacoatiara ( Brazil ) Parintins ( Brazil ) ; Óbidos ( Brazil ) ; Santarém ( Brazil ) ; Almeirim ( Brazil ) ; Macapá ( Brazil ) ; Manaus ( Brazil ) Source Rio Mantaro - location Huancayo , Huancayo Province , Peru - elevation 5,220 m ( 17,126 ft ) - coordinates 10 ° 43 ′ 55 '' S 76 ° 38 ′ 52 '' W ﻿ / ﻿ 10.73194 ° S 76.64778 ° W ﻿ / - 10.73194 ; - 76.64778 Mouth Atlantic Ocean - elevation 0 m ( 0 ft ) - coordinates 0 ° 42 ′ 28 '' N 50 ° 5 ′ 22 '' W ﻿ / ﻿ 0.70778 ° N 50.08944 ° W ﻿ / 0.70778 ; - 50.08944 Coordinates : 0 ° 42 ′ 28 '' N 50 ° 5 ′ 22 '' W ﻿ / ﻿ 0.70778 ° N 50.08944 ° W ﻿ / 0.70778 ; - 50.08944 Length 6,400 km ( 3,977 mi ) Basin 7,050,000 km ( 2,722,000 sq mi ) Discharge - average 209,000 m / s ( 7,381,000 cu ft / s ) - max 340,000 m / s ( 12,007,000 cu ft / s ) - min 180,000 m / s ( 6,357,000 cu ft / s ) Amazon River and drainage basin",where does the amazon river start and end,"Huancayo , Huancayo Province , Peru - elevation 5,220 m ( 17,126 ft ) - coordinates 10 ° 43 ′ 55 '' S 76 ° 38 ′ 52 '' W ﻿ / ﻿ 10.73194 ° S 76.64778 ° W ﻿ / - 10.73194 ; - 76.64778 Mouth Atlantic Ocean","Start: Andes Mountains, Peru
End: Atlantic Ocean, Brazil","Source: Rio Mantaro, Peru
Mouth: Atlantic Ocean"
"It 's Always Sunny in Philadelphia ( season 13 ) Promotional poster Country of origin United States No. of episodes 10 Release Original network FXX Original release September 5 , 2018 ( 2018 - 09 - 05 ) -- present Season chronology ← Previous Season 12 List of It 's Always Sunny in Philadelphia episodes",how many episodes in it's always sunny season 13,10,It's Always Sunny in Philadelphia Season 13 has 10 episodes.,10 episodes.
Fiddler on the Roof Playbill from the Original Broadway Production Music Jerry Bock Lyrics Sheldon Harnick Book Joseph Stein Basis Tevye and His Daughters by Sholem Aleichem Productions 1964 Broadway 1967 West End 1971 film 1976 Broadway revival 1981 Broadway revival 1983 West End revival 1990 Broadway revival 1994 West End revival 2003 UK tour 2004 Broadway revival 2007 West End revival 2008 UK tour 2009 US Tour 2015 Broadway revival Awards Tony Award for Best Musical Tony Award for Best Score Tony Award for Best Book,who wrote the songs for fiddler on the roof,Jerry Bock Lyrics Sheldon Harnick,"Jerry Bock (music), Sheldon Harnick (lyrics)",Jerry Bock
"Lamarckism ( or Lamarckian inheritance ) is the idea that an organism can pass on characteristics that it has acquired during its lifetime to its offspring ( also known as heritability of acquired characteristics or soft inheritance ) . It is named after the French biologist Jean - Baptiste Lamarck ( 1744 -- 1829 ) , who incorporated the action of soft inheritance into his evolutionary theories as a supplement to his orthogenetic concept of an inherent progressive tendency driving organisms continuously towards greater complexity , in parallel but separate lineages with no extinction . Lamarck did not originate the idea of soft inheritance , which proposes that individual efforts during the lifetime of the organisms were the main mechanism driving species to adaptation , as they supposedly would acquire adaptive changes and pass them on to offspring .",who was the first scientist to state that species change over time,French biologist Jean - Baptiste Lamarck,Jean-Baptiste Lamarck,I do not know.
"The history of the New England Patriots began when Boston business executive William `` Billy '' Sullivan and Sullivan Brother Printers , owned by Joseph Sullivan , were awarded the eighth and final franchise of the developing American Football League ( AFL ) on November 16 , 1959 . The following winter , locals submitted thousands of ideas for the Boston football team 's official name . On February 20 , 1960 , Sullivan chose `` Boston Patriots '' , with `` Patriots '' referring to those colonists of the Thirteen Colonies who rebelled against British control during the American Revolution and in July 1776 declared the United States of America an independent nation . `` Patriots '' as a nickname had been suggested by 74 fans , among them Larry Kepnes . Immediately thereafter , artist Phil Bissell developed the `` Pat Patriot '' logo .",where did the new england patriots originate from,Boston Patriots,"Foxborough, Massachusetts","Boston, Massachusetts."
"The music for the fantasy TV series Game of Thrones is composed by Ramin Djawadi . The music is primarily instrumental with the occasional vocal performances , and is created to support musically the characters and plots of the show . It features various theme , the most prominent is its Main Title that accompanies the series ' title sequence . In every season , a soundtrack album would be released .",who wrote the music for game of thrones,Ramin Djawadi,Ramin Djawadi composed the music.,Ramin Djawadi.
"An electron transport chain ( ETC ) is a series of complexes that transfer electrons from electron donors to electron acceptors via redox ( both reduction and oxidation occurring simultaneously ) reactions , and couples this electron transfer with the transfer of protons ( H ions ) across a membrane . This creates an electrochemical proton gradient that drives the synthesis of adenosine triphosphate ( ATP ) , a molecule that stores energy chemically in the form of highly strained bonds . The molecules of the chain include peptides , enzymes ( which are proteins or protein complexes ) , and others . The final acceptor of electrons in the electron transport chain during aerobic respiration is molecular oxygen although a variety of acceptors other than oxygen such as sulfate exist in anaerobic respiration .",the final electron acceptor for the electron transport chain of aerobic respiration is,molecular oxygen,Oxygen,Molecular oxygen.
"America 's Got Talent Promotional poster for the season . Season 13 Broadcast from May 29 ( 2018 - 05 - 29 ) -- September 19 , 2018 ( 2018 - 09 - 19 ) Judges Howie Mandel Mel B Heidi Klum Simon Cowell Host ( s ) Tyra Banks Broadcaster NBC Winner Shin Lim Origin Boston , Massachusetts Genre ( s ) Magician Runner - up Zurcaroh Chronology ◀ 2018",who is the winner on americas got talent 2018,Shin Lim,America's Got Talent 2018 winner: Shin Lim,Shin Lim
"The phrase `` Said the actress to the bishop '' is a colloquial and vulgar British exclamation , offering humour by serving as a punch line that exposes an unintended double entendre . An equivalent phrase in North America is `` that 's what she said '' . Each phrase is an example of a Wellerism , exposing a second meaning of what precedes it . The versatility of such phrases , and their popularity , lead some to consider them clichéd .",where does the saying said the actress to the bishop come from,British,Origin: 17th-century England,I do not know.
"The Olmecs ( / ˈɒlmɛks / ) were the earliest known major civilization in Mexico following a progressive development in Soconusco . They lived in the tropical lowlands of south - central Mexico , in the present - day states of Veracruz and Tabasco . It has been speculated that the Olmecs derive in part from neighboring Mokaya or Mixe -- Zoque .",where is the olmec civilization located on a map,"south - central Mexico , in the present - day states of Veracruz and Tabasco","Olmec civilization: 
Location: Mesoamerica 
Country: Mexico 
Region: Veracruz",South-central Mexico.
"Southlake , Texas City City of Southlake , Texas Southlake City Hall , Southlake Town Square Location of Southlake in Tarrant County , Texas Coordinates : 32 ° 56 ′ 48 '' N 97 ° 8 ′ 43 '' W ﻿ / ﻿ 32.94667 ° N 97.14528 ° W ﻿ / 32.94667 ; - 97.14528 Coordinates : 32 ° 56 ′ 48 '' N 97 ° 8 ′ 43 '' W ﻿ / ﻿ 32.94667 ° N 97.14528 ° W ﻿ / 32.94667 ; - 97.14528 Country United States State Texas Counties Tarrant , Denton Incorporated 1956 Government Type Council - Manager Mayor Mayor Laura Hill City Council Council members ( show ) Shahid Shafi Shawn McCaskill Chad Patton Randy Williamson John Huffman Gary Fawks Texas House of Representatives Representatives ( show ) Tan Parker ( R ) , District 63 Giovanni Capriglione ( R ) , District 98 Texas Senate Senators ( show ) Konni Burton ( R ) , District 10 Kelly Hancock ( R ) , District 9 Jane Nelson ( R ) , District 12 U.S. House of Representatives Congress members ( show ) Kenny Marchant ( R ) , 24th District Michael C. Burgess ( R ) , 26th District Area Total 22.5 sq mi ( 58.1 km ) Land 21.9 sq mi ( 56.7 km ) Water 0.6 sq mi ( 1.4 km ) 2.45 % Elevation 640 ft ( 195 m ) Population ( 2010 ) Total Jessica + Mac Density 983.0 / sq mi ( 379.6 / km ) Time zone CST ( UTC - 6 ) Summer ( DST ) CDT ( UTC - 5 ) ZIP code 76092 Area code ( s ) 817 , 214 , 972 FIPS code 48 - 69032 GNIS feature ID 1347589 Website www.cityofsouthlake.com",where is southlake texas on a map of texas,Coordinates : 32 ° 56 ′ 48 '' N 97 ° 8 ′ 43 '' W ﻿ / ﻿ 32.94667 ° N 97.14528 ° W,North of Fort Worth.,"Located in Tarrant County, Texas."
